ricf_oid_2013	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn.1	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use	ricf_oid	ba_uscc
2	一达助学（伊春）基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		92862.43	92000.0	0.0	912.57								2.0	532300005606017012
3	万科公益基金会	2013	4660319.19	4660319.19	1435400.0	3224919.19	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		17838388.01	17310269.65	0.0	13852.0								3.0	531000005000211741
5	三亚市法律援助基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		148264.98	100100.0	24000.0	24164.98								5.0	5346000057873617X9
6	三明学院教育发展基金会	2013	2000000.0	2000000.0	0.0	2000000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0								6.0	53350400084336002Q
7	三江学院教育发展基金会	2013	200000.0	200000.0	0.0	200000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		4948800.0	4942800.0	0.0	6000.0								7.0	53320000509158142H
8	三江源生态保护基金会	2013	1600000.0	1600000.0	0.0	1600000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1286498.52	1132867.22	76361.3	77270.0								8.0	536300005950262926
9	三门县人民教育基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		38473.8	0.0	7200.0	31273.8								9.0	53330000766415218E
10	上海七弦古琴文化发展基金会	2013	300000.0	300000.0	300000.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		403052.71	355358.56	14760.0	8664.3								10.0	53310000501781458L
11	上海万宇慈善基金会	2013	5000000.0	5000000.0	0.0	5000000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		503495.0	503191.0	0.0	0.0								11.0	53310000501782493G
12	上海世华民族艺术瑰宝回归基金会	2013	400000.0	400000.0	280000.0	120000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		163000.0	163000.0	0.0	0.0								12.0	53310000501781028T
13	上海东华大学教育发展基金会	2013	11310669.56	11280500.19	1256000.19	10024500.0	30169.37	0.0	30169.37	0.0	0	0	0	0	0	0	0	0		9556772.1	9547900.0	0.0	8872.1								13.0	533100005017814157
14	上海东方文化艺术基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		14197204.84	13808760.66	287871.0	99149.68								14.0	53310000501780893Q
15	上海东方爱心基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1311339.0	1200000.0	0.0	111339.0								15.0	5331000050178056X5
16	上海中华职业教育温暖工程基金会	2013	82561.2	82561.2	0.0	82561.2	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		441434.55	403361.2	23400.0	14673.35								16.0	53310000501780420H
17	上海中欧国际工商学院教育发展基金会	2013	29292223.12	29292223.12	1860234.19	27431988.93	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		16027970.46	14696529.33	522315.87	807701.0								17.0	53310000501779569G
18	上海交响乐团文化发展基金会	2013	16478600.0	16478600.0	0.0	16478600.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		4172377.41	4119069.0	0.0	53308.41								18.0	53310000501772770E
19	上海交通大学教育发展基金会	2013	154854022.53	123267761.3	45670959.09	77596802.21	31586261.23	5809892.79	25776368.44	0.0	0	0	0	0	0	0	0	0		77637392.01	77323247.27	0.0	0.0								19.0	53310000501777985E
20	上海仁德基金会	2013	4044932.39	4044932.39	881117.6	3163814.79	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		2362309.3	1941253.0	198094.0	36142.95								20.0	53310000501781829B
21	上海公安金盾基金会	2013	33000000.0	33000000.0	0.0	33000000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		9161001.0	8999306.3	138000.0	18032.1								21.0	533100005017813781
22	上海兴华教育扶贫基金会	2013	13179886.53	13179886.53	13179886.53	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		8517108.06	4184087.5	4184087.5	145506.56								22.0	53310000501780084D
23	上海兴韦信息技术职业学院教育发展基金会	2013	9000000.0	9000000.0	0.0	9000000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		6800000.0	6800000.0	0.0	0.0								23.0	53310000501782290U
24	上海刘浩清公益基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0								24.0	53310000501781394N
25	上海医学创新发展基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		3567518.48	280000.0	72000.0	133877.9								25.0	53310000501782231Q
26	上海华东政法大学教育发展基金会	2013	3388791.6	3388791.6	1920000.0	1468791.6	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1133034.2	1063036.04	48500.0	21498.16								26.0	533100005017816694
27	上海华东理工大学教育发展基金会	2013	8293497.47	8138644.44	0.0	8138644.44	154853.03	0.0	154853.03	0.0	0	0	0	0	0	0	0	0		5914330.51	5786915.03	0.0	127415.48								27.0	533100005017817738
28	上海华信公益基金会	2013	37545013.35	37545013.35	21432.6	37523580.75	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		17498581.19	16162267.01	1061514.61	202008.77								28.0	53310000501781618U
29	上海华杰仁爱基金会	2013	650000.0	650000.0	0.0	650000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		616465.28	561826.0	47777.6	6861.68								29.0	533100005017795856
30	上海发展昆剧基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		222689.58	222689.58	0.0	0.0								30.0	533100005017728502
31	上海发展研究基金会	2013	890000.0	890000.0	0.0	890000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		2183081.5	1352635.39	482435.0	345476.05								31.0	5331000050177483X8
32	上海同济大学教育发展基金会	2013	69157349.13	65195668.0	10740222.26	54455445.74	3961681.13	20035.45	3941645.68	0.0	0	0	0	0	0	0	0	0		51690097.36	51165689.99	0.0	524407.37								32.0	5331000050177993X2
33	上海同济高廷耀环保科技发展基金会	2013	570000.0	570000.0	0.0	570000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		795043.68	752984.32	30000.0	12059.36								33.0	53310000501778750P
34	上海向阳公益基金会	2013	550000.0	550000.0	0.0	550000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		313320.4	285000.0	0.0	28320.4								34.0	53310000501781810E
35	上海吴孟超医学科技基金会	2013	5067865.14	3801341.84	273697.6	3527644.24	1266523.3	0.0	1266523.3	0.0	0	0	0	0	0	0	0	0		18215530.21	18110840.08	36000.0	52965.92								35.0	53310000501779155C
36	上海唐君远教育基金会	2013	5183000.0	5183000.0	20000.0	5163000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		20501867.94	14785301.6	520125.0	136376.47								36.0	53310000501777387J
37	上海商学院教育发展基金会	2013	1571102.0	1571102.0	71102.0	1500000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		351908.0	349975.0	0.0	1933.0								37.0	53310000501781992J
38	上海喜玛拉雅文化艺术基金会	2013	4450000.0	4450000.0	0.0	4450000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		6455944.14	6093000.0	261160.0	280.0								38.0	53310000501782071H
39	上海嘉宝公益基金会	2013	20500000.0	20500000.0	0.0	20500000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1150530.0	1150000.0	0.0	0.0								39.0	53310000501782354R
40	上海国泰君安社会公益基金会	2013	12367201.42	12367201.42	0.0	12367201.42	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1408855.94	1308542.2	0.0	40483.8								40.0	533100005017818969
41	上海国际经济交流基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		640729.49	585889.8	87600.0	497.0								41.0	533100005017753309
42	上海复大公益基金会	2013	416800.0	416800.0	416800.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		788474.98	710000.0	70549.08	6500.0								42.0	533100005017816507
43	上海复旦大学教育发展基金会	2013	57000999.97	35684322.47	3345916.1	32338406.37	21316677.5	133893.12	21182784.38	0.0	0	0	0	0	0	0	0	0		50053862.4	48124173.59	1142965.07	511708.26								43.0	53310000501779147H
44	上海复星公益基金会	2013	31710.0	31710.0	0.0	31710.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		17729061.2	17720922.4	0.0	8138.8								44.0	53310000501782119R
45	上海夏征农民族文化教育发展基金会	2013	2460000.0	2460000.0	0.0	2460000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		2291014.55	2075272.92	59924.0	161685.63								45.0	53310000501780666K
46	上海外国语大学教育发展基金会	2013	4389026.13	3262153.19	56016.0	3206137.19	1126872.94	0.0	1126872.94	0.0	0	0	0	0	0	0	0	0		3652866.58	3618141.88	0.0	34724.7								46.0	53310000501781095Q
48	上海天下文化发展基金会	2013	30000.0	30000.0	30000.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		363824.29	350000.0	0.0	11500.0								48.0	533100005017811169
49	上海宇兴爱心慈善基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0								49.0	53310000501782557E
50	上海宋庆龄基金会	2013	52052108.28	51535601.22	10867757.37	40667843.85	516507.06	0.0	516507.06	0.0	0	0	0	0	0	0	0	0		38119575.07	34945462.31	1229941.3	1944171.46								50.0	53310000501775082K
