ricf_oid_2013	ba_rdt	ba_cn	ba_en	ba_rid	ba_org	ba_msn	ba_srv	ba_ntr	ba_rng	ba_reg	ba_sup	ba_fdt	ba_fnd	ba_add	ba_zip	ba_prv	ba_ct	ba_gis	ba_wb	ba_chr	ba_sec	ba_cpn	ba_cpp	ba_phn	ba_fax	ba_eml	ba_gvm	ba_pgv	ba_nfe	ba_nv	ba_evl	ba_sf	ba_tax	ba_src	ba_bn	ba_sn	ba_mn	ba_brn	ba_rn	ba_pbl	ba_pm	ba_po	ba_ai	ba_ap	ba_hr	ba_nc	ba_fr	ba_tr	ba_rcp	ba_mt	ba_trn	ricf_oid	ba_uscc
1	2013	一汽自主创新沈曾华奖励基金会	FAW Shen Cenghua Innovation Award Foundat	基证字第[2007]54号	66875408-0	促进中国第一汽车集团公司自主品牌与自主创新的发展，激励一汽员工为自主品牌与创新做出优异的成绩。	奖励一汽所属各单位为自主品牌与科技创新做出突出贡献的科技成果。	非公募	地方	省级民政部门	一汽党委	2007-07-31 00:00:00	250万元		130011	Jilin Sheng	Changchun Shi	[43.86903, 125.28217]		赵方宽	田洪福	冯佳奇	一汽集团公司规划部	0431-85737650	0431-85737586	thf_ghb@faw.com.cn																										1.0	532200006687540807
2	2013	一达助学（伊春）基金会	Yichun Yida Students Grants Foundation	黑基证字第0037号	56060170-1	资助伊春籍品学兼优家庭贫困的学生完成学业。	资助伊春籍品学兼优家庭贫困学子完成学业;基金管理与运用,促进基金保值增值。	非公募	地方	省级民政部门	黑龙江省伊春市教育局	2011-11-16 00:00:00	200万元		150040	Heilongjiang Sheng	Haerbin Shi	[45.739872, 126.64228]		张一达	李世民	张凤芹	会计	0451-86201389	0451-86201389		0.0	0.0	0.0	0.0		0.0	无																			2.0	532300005606017012
3	2013	万科公益基金会	Vanke Public Welfare Foundation	基证字第1056号	50002117-4	倡导公益与志愿精神,推动中国公益事业发展。	扶贫助残；扶贫教育等方面公益项目进行资助；扶贫教育相关的公益培训、公益论坛、国际公益交流活动。	非公募	全国	民政部	民政部	2008-09-04 00:00:00	5,000万元	广东省深圳市盐田区大梅沙环梅路33号万科中心	518049	Guangdong Sheng	Shenzhen Shi	[22.596827, 114.30296]	http://www.vankefoundation.org/	郁亮	肖莉	吴良	秘书长助理	0755-25606666	0755-25531696	Vkf@vanke.com	0.0	0.0	5.0	1517.0	3A	0.0	公益性捐赠税前扣除资格					0.0	0.0	公开发行刊物											15099929915	3.0	531000005000211741
4	2013	三亚宪清养老基金会	Sanya Xianqing Foundation for the Elderly	(琼)登记批准基字[2010]第201202号	58925183-X		募集资金；向社会上贫困老年人进行专项资助；公益扶贫	非公募	地方	省级民政部门	三亚市民政局	2012-01-10 00:00:00	200万元		572000	Hainan Sheng	Sanya Shi	[18.276455, 109.513306]		陈宪清				0898-88688444																												4.0	5346000058925183XK
5	2013	三亚市法律援助基金会	Sanya Legal Aid Foundation	琼基证字第201103号	57873617-X	保障有经济困难的公民获得必要的法律服务，维护司法公正和社会正义，保障人权，推动三亚法律援助事业持续发展。	接受来自国（境）内外的捐赠，开展符合法律援助基金会宗旨的各项活动。	公募	地方	省级民政部门	海南省司法厅	2011-09-07 00:00:00	400万元	三亚市新风路42号水利大厦5楼	572000	Hainan Sheng	Sanya Shi	[18.250622, 109.50348]		陈堪富	邓振海	黎毓文	文秘	0898-88205782	0898-88284934	123543930@qq.com	0.0	0.0	3.0	0.0	未参评	0.0	无					0.0	0.0	未举办刊物											琼地税三亚字46020057873617X号	5.0	5346000057873617X9
6	2013	三明学院教育发展基金会	Sanming College Education Foundation	明基证字第8001号	84336002	推动三明学院教育发展事业，提高三明学院教育质量和学术水平。	奖励优秀教师和优秀学生及在基础科学研究方面取得成果的先进集体与先进个人；资助贫困学生顺利完成学业、骨干老师出国深造。	非公募	地方	市级民政部门	三明市民政局	2013-12-06 00:00:00	200万元		365001	Fujian Sheng	Sanming Shi	[26.200089, 117.56465]		王政	俞白桦	黄国祥	办事员	0598-8398098		1848149806@qq.com	0.0	0.0	0.0	50.0	未参评	0.0	非营利组织免税资格																			6.0	53350400084336002Q
7	2013	三江学院教育发展基金会	Sanjiang University Education Development	苏民基证字第00049号	50915814-2	遵守中华人民共和国宪法、法律、法规、规章和国家政策,遵守社会道德风尚致力于加强三江学院与国内外各界的联系和合作,募集办学资金、奖励三江学院师生,推动三江学院教育事业的发展。	加强与国内外合作、接受捐赠、奖励、资助优秀师生和贫困学生，支持学校建设。	非公募	地方	省级民政部门	江苏省教育厅	2006-04-27 00:00:00	200万元		210012	Jiangsu Sheng	Nanjing Shi	[31.958393, 118.74979]		陈万年	王小苏	王小苏	秘书长	025-52354968	025-52897067	wangxiaosu@sju.js.cn	0.0	1.0	0.0	5.0	未参评	0.0	公益性捐赠税前扣除资格																			7.0	53320000509158142H
8	2013	三江源生态保护基金会	Three Rivers Source Ecology Conservation 	基证字第97599号	59502629-2	广泛募集、多方筹措、保护生态、持续发展	承担三江源生态保护基金的募集和管理工作；组织开展与三江源生态保护相关的宣传教育、学术交流、国际合作等活动；资助和开展保护三江源生态和资源；奖励为三江源生态保护事业做出突出贡献的组织和个人；为增加本基金会资产而进行的基金保值、增值运作和投资活动。	公募	地方	省级民政部门	青海省发展和改革委员会	2012-10-22 00:00:00	1,000万元	青海省西宁市城西区昆仑路30号	810001	Qinghai Sheng	Xining Shi	[36.625706, 101.75436]	http://www.sepf.org.cn	马福海	姚洪仲	曹军	副秘书长	0971-6334875	0971-6334841	sepforg@163.com	0.0	1.0	5.0	4.0	未参评	0.0	公益性捐赠税前扣除资格					0.0	0.0	未举办刊物												8.0	536300005950262926
9	2013	三门县人民教育基金会	Sanmen People's Education Foundation	浙基证字第51006号	76641521-8	遵守国家宪法、法律法规和政策，遵守社会道德风尚，为振兴三门教育动员社会各方面力量，多渠道筹集资金，资助贫困家庭子女就学，支持各级各类  学校建设，奖励优秀教师品学兼优学生和	资助贫困家庭学生，学校修建校舍和更新教学设备，奖励先进教育工作者和优秀学生。	公募	地方	省级民政部门	浙江省教育厅	2004-09-03 00:00:00	400万元		317100	Zhejiang Sheng	Taizhou Shi	[29.115187, 121.3808]	http://www.smedu.org/zhuanti/ShowClass.asp?ClassID=91	李先琦	周方铬	陈胜	会计	0576-3332523	0576-3338991	cs@smedu.org	0.0	0.0	0.0	12.0	未参评	0.0	无																			9.0	53330000766415218E
10	2013	上海七弦古琴文化发展基金会	Shanghai Seven strings the ch' in Culture	基证字第0116号	501781458		资助有示范性、经典性的古琴文化项目，古琴谱、古琴曲、古琴影音文字资料、古琴制作研究、历代古琴收藏修复等保护整理工作，资助古琴艺术人才的培养、其他古琴文化的公益活动。	非公募	地方	省级民政部门	上海市文化广播影视管理局	2011-01-28 00:00:00	400万元		200030	Shanghai Shi	Shanghai	[31.205027, 121.43984]	http://www.sh-guqin.com	杨致俭	曹怡玲	曹怡玲	秘书长	021-64374111	021-64338583	info@sh-guqin.com			1.0	20.0	未参评	0.0	公益性捐赠税前扣除资格																			10.0	53310000501781458L
11	2013	上海万宇慈善基金会	Shanghai wanyu Charity Foundation	沪民基证字第0148号	501782493		开展帮困扶贫活动，资助贫困老年和儿童；资助社区防灾减灾活动；开展灾情救助等公益活动；开展其它民政类公益活动。（涉及行政许可的，凭许可证开展业务）	非公募	地方	省级民政部门	上海市民政局	2013-06-18 00:00:00	500万元		201600	Shanghai Shi	Shanghai	[31.231764, 121.48444]	http://wyjjh.com/	王久林	邬燕飞	朱瑛	副理事长	021-37702251	021-37702251				0.0	20.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			11.0	53310000501782493G
12	2013	上海世华民族艺术瑰宝回归基金会	Shanghai Shihua National Art Treasure Reg	沪民基证字第0097号	501781028	大力推进“我国文化、文博事业大发展、大繁荣”的精神，弘扬爱国主义精神，积极募集国内外社团、企业和个人的资金抢救保护流失海外的文物艺术珍品回归祖国；征集保护国内流散在民间的	征集、回购、收购艺术珍品，开展对艺术珍品的收藏、鉴赏、保护知识的宣传和培训等。	非公募	地方	省级民政部门	上海市文化广播影视管理局	2009-07-02 00:00:00	200万元		200031	Shanghai Shi	Shanghai	[31.211407, 121.45909]		赵月汀	赵月汀	马杰	理事长助理	021-63874898	021-63879022				2.0	25.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			12.0	53310000501781028T
