ricf_oid_2013	ba_cn	fp_dt	cf_doc	cf_soc	cf_srvc	cf_proc	cf_govc	cf_otca	cf_atci	cf_dopc	cf_stpc	cf_psc	cf_otpc	cf_atco	cf_anc	cf_inc	cf_inrc	cf_assc	cf_oc	cf_itci	cf_aspc	cf_inpc	cf_oinc	cf_tinc	cf_intc	cf_leca	cf_tfc	cf_tfic	cf_bopc	cf_inpc.1	cf_ofc	cf_tfoc	cf_nfl	cf_exch	cf_ninc	ricf_oid	ba_uscc
2	一达助学（伊春）基金会	2013	0.0	0.0	0.0	0.0	0.0	96724.37	96724.37	0.0	0.0	0.0	962.71	962.71	95761.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	2.0	532300005606017012
3	万科公益基金会	2013	4879225.68	0.0	0.0	0.0	0.0	0.0	4879225.68	17642742.65	0.0	0.0	0.0	17642742.65	-12763516.97	12949.91	0.0	0.0	8400000.0	8412949.91	0.0	32000000.0	563822.96	32563822.96	-24150873.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	3.0	531000005000211741
5	三亚市法律援助基金会	2013	0.0	0.0	0.0	0.0	0.0	14592.19	14592.19	100100.0	24000.0	0.0	21277.37	145377.37	-130785.18	0.0	0.0	0.0	0.0	0.0	9450.0	0.0	0.0	9450.0	-9450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	5.0	5346000057873617X9
6	三明学院教育发展基金会	2013	2000000.0	0.0	0.0	0.0	0.0	812.78	2000812.78	0.0	0.0	0.0	0.0	0.0	2000812.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	6.0	53350400084336002Q
7	三江学院教育发展基金会	2013	200000.0	0.0	0.0	0.0	0.0	45000000.0	45200000.0	4942800.0	0.0	0.0	6000.0	4948800.0	40251200.0	0.0	0.0	0.0	0.0	0.0	0.0	30000000.0	0.0	30000000.0	-30000000.0	0.0	166944.32	166944.32	0.0	0.0	0.0	0.0	166944.32	0.0	0	7.0	53320000509158142H
8	三江源生态保护基金会	2013	1600000.0	0.0	0.0	0.0	500000.0	36692.55	2136692.55	0.0	193892.0	0.0	573328.52	767220.52	1369472.03	0.0	0.0	0.0	0.0	0.0	90385700.0	0.0	0.0	90385700.0	-90385700.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	8.0	536300005950262926
9	三门县人民教育基金会	2013	0.0	0.0	0.0	0.0	0.0	540.16	540.16	0.0	0.0	0.0	38473.8	38473.8	-37933.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	9.0	53330000766415218E
10	上海七弦古琴文化发展基金会	2013	300000.0	0.0	0.0	0.0	0.0	9065.66	309065.66	0.0	14760.0	243804.47	1892219.88	2150784.35	-1841718.69	3000000.0	100000.0	0.0	0.0	3100000.0	0.0	0.0	0.0	0.0	3100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	10.0	53310000501781458L
11	上海万宇慈善基金会	2013	5000000.0	0.0	0.0	0.0	0.0	5936.68	5005936.68	503191.0	0.0	0.0	304.0	503495.0	4502441.68	73612.88	0.0	0.0	0.0	73612.88	0.0	0.0	0.0	0.0	73612.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	11.0	53310000501782493G
12	上海世华民族艺术瑰宝回归基金会	2013	400000.0	0.0	0.0	0.0	0.0	0.0	400000.0	0.0	0.0	0.0	0.0	0.0	400000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163000.0	163000.0	-163000.0	0.0	0	12.0	53310000501781028T
