ricf_oid_2013	ba_cn	fp_dt	fa_dine	fa_asine	fa_sine	fa_gse	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_chase	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_gsu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_chasu	fa_nechu	ricf_oid	ba_uscc
2	一达助学（伊春）基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	92000.0	912.57	50.14	0.0	92962.71	0.0		-92962.71	2.0	532300005606017012
3	万科公益基金会	2013	2722959.19	0	0.0		0	0.0	0.0	0.0	2722959.19	17310269.65	0.0	0.0	0.0	17310269.65	0.0		-14587310.46	1937360.0	0.0	0.0		0.0	0.0	0.0	8799460.0	10736820.0	0.0	13852.0	0.0	514266.36	528118.36	0.0		10208701.64	3.0	531000005000211741
5	三亚市法律援助基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	14592.19	14592.19	100100.0	48164.98	0.0	0.0	148264.98	0.0		-133672.79	5.0	5346000057873617X9
6	三明学院教育发展基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	2000000.0	0.0	0.0		0.0	0.0	0.0	812.78	2000812.78	0.0	0.0	0.0	0.0	0.0	0.0		2000812.78	6.0	53350400084336002Q
7	三江学院教育发展基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	200000.0	0.0	0.0		0.0	0.0	0.0	166944.32	366944.32	4942800.0	6000.0	0.0	0.0	4948800.0	0.0		-4581855.68	7.0	53320000509158142H
8	三江源生态保护基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	1600000.0	0.0	0.0		0.0	2014700.0	0.0	27492.55	3642192.55	1132867.22	153631.3	0.0	0.0	1286498.52	0.0		2355694.03	8.0	536300005950262926
9	三门县人民教育基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	540.16	540.16	0.0	38473.8	0.0	0.0	38473.8	0.0		-37933.64	9.0	53330000766415218E
10	上海七弦古琴文化发展基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	300000.0	0.0	0.0		0.0	0.0	96995.04	9065.66	406060.7	379628.41	23424.3	0.0	0.0	403052.71	0.0		3007.99	10.0	53310000501781458L
11	上海万宇慈善基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	5000000.0	0.0	0.0		0.0	0.0	73612.88	5936.68	5079549.56	503191.0	0.0	0.0	304.0	503495.0	0.0		4576054.56	11.0	53310000501782493G
12	上海世华民族艺术瑰宝回归基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	1158000.0	0.0	0.0		0.0	0.0	0.0	0.0	1158000.0	163000.0	0.0	0.0	0.0	163000.0	0.0		995000.0	12.0	53310000501781028T
13	上海东华大学教育发展基金会	2013	12724669.56	0	0.0		0	0.0	0.0	47500.0	12772169.56	9547900.0	0.0	0.0	0.0	9547900.0	0.0		3224269.56	0.0	0.0	0.0		0.0	0.0	0.0	-26127.48	-26127.48	0.0	8872.1	0.0	0.0	8872.1	0.0		-34999.58	13.0	533100005017814157
14	上海东方文化艺术基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	12295216.35	12295216.35	13808760.66	387020.68	0.0	1423.5	14197204.84	0.0		-1901988.49	14.0	53310000501780893Q
15	上海东方爱心基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	50000.0	0.0	50000.0	1200000.0	179345.88	855.36	0.0	1380201.24	0.0		-1330201.24	15.0	5331000050178056X5
16	上海中华职业教育温暖工程基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	88381.2	0.0	0.0		0.0	0.0	-280.06	74169.93	162271.07	403361.2	38073.35	0.0	1500.0	442934.55	0.0		-280663.48	16.0	53310000501780420H
17	上海中欧国际工商学院教育发展基金会	2013	16967402.33	0	0.0		0	0.0	0.0	0.0	16967402.33	11715802.33	0.0	-373806.92	0.0	11341995.41	0.0		5625406.92	12324820.79	0.0	0.0		0.0	0.0	0.0	0.0	12324820.79	2980727.0	1331441.13	-1059185.88	0.0	3252982.25	0.0		9071838.54	17.0	53310000501779569G
18	上海交响乐团文化发展基金会	2013	14000000.0	0	0.0		0	0.0	0.0	0.0	14000000.0	4119069.0	0.0	0.0	0.0	4119069.0	0.0		9880931.0	2478600.0	0.0	0.0		0.0	0.0	0.0	237201.62	2715801.62	0.0	53308.41	0.0	0.0	53308.41	0.0		2662493.21	18.0	53310000501772770E
19	上海交通大学教育发展基金会	2013	154854022.53	0	0.0		0	0.0	27471963.97	0.0	182325986.5	0.0	0.0	0.0	0.0	0.0	76795830.38		105530156.1	0.0	0.0	0.0		0.0	0.0	10156837.13	1355048.09	11511885.22	77323247.27	310610.51	3534.23	0.0	77637392.01	-76795830.38		10670323.59	19.0	53310000501777985E
20	上海仁德基金会	2013	2489900.2	0	0.0		0	70000.0	0.0	0.0	2559900.2	0.0	0.0	0.0	0.0	0.0	923321.6		1636578.6	1555032.19	0.0	0.0		0.0	0.0	138018.09	6960.62	1700010.9	1941253.0	234236.95	180888.5	5930.85	2362309.3	-923321.6		261023.2	20.0	53310000501781829B
