机构ID	机构名称	报表时间	捐赠收入_限定	会费收入_限定	提供服务收入_限定	政府购买服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	调整净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	政府购买服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	调整净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
ricf_oid	ba_cn	fp_dt	fa_dine	fa_asine	fa_sine	fa_gse	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_chase	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_gsu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_chasu	fa_nechu
2	一达助学（伊春）基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	0.00 	0	0		0	0	0.00 	0.00 	0.00 	92000	912.57 	50.14 	0.00 	92962.71 	0.00 		-92962.71 
3	万科公益基金会	2013	2722959.19 	0	0		0	0	0	0	2722959.19 	17310269.65 	0	0	0	17310269.65 	0.00 		-14587310.46	1937360.00 	0	0		0	0	0.00 	8799460.00 	10736820.00 	0	13852.00 	0.00 	514266.36 	528118.36 	0.00 		10208701.64 
5	三亚市法律援助基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	0.00 	0	0		0	0	0.00 	14592.19 	14592.19 	100100	48164.98 	0.00 	0.00 	148264.98 	0.00 		-133672.79 
6	三明学院教育发展基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	2000000.00 	0	0		0	0	0.00 	812.78 	2000812.78 	0	0.00 	0.00 	0.00 	0.00 	0.00 		2000812.78 
7	三江学院教育发展基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	200000.00 	0	0		0	0	0.00 	166944.32 	366944.32 	4942800	6000.00 	0.00 	0.00 	4948800.00 	0.00 		-4581855.68 
8	三江源生态保护基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	1600000.00 	0	0		0	2014700	0.00 	27492.55 	3642192.55 	1132867.22	153631.30 	0.00 	0.00 	1286498.52 	0.00 		2355694.03 
9	三门县人民教育基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	0.00 	0	0		0	0	0.00 	540.16 	540.16 	0	38473.80 	0.00 	0.00 	38473.80 	0.00 		-37933.64 
10	上海七弦古琴文化发展基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	300000.00 	0	0		0	0	96995.04 	9065.66 	406060.70 	379628.41	23424.30 	0.00 	0.00 	403052.71 	0.00 		3007.99 
11	上海万宇慈善基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	5000000.00 	0	0		0	0	73612.88 	5936.68 	5079549.56 	503191	0.00 	0.00 	304.00 	503495.00 	0.00 		4576054.56 
12	上海世华民族艺术瑰宝回归基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	1158000.00 	0	0		0	0	0.00 	0.00 	1158000.00 	163000	0.00 	0.00 	0.00 	163000.00 	0.00 		995000.00 
