机构ID	数据年度	货币资金	短期投资	应收款项	预付账款	存货	待摊费用	一年内到期的长期债权投资	其他流动资产	流动资产合计	长期股权投资	长期债权投资	其他长期投资	长期投资合计	固定资产原价	累计折旧	固定资产净值	在建工程	文物文化资产	固定资产清理	固定资产合计	无形资产	受托代理资产	资产合计	短期借款	应付款项	应付工资	应交税金	预收帐款	预提费用	预计负债	一年内到期的长期负债	其他流动负债	流动负债合计	长期借款	长期应付款	其他长期负债	长期负债合计	受托代理负债	负债合计	非限定性净资产	限定性净资产	净资产合计	负债和净资产合计
ricf_oid	fp_yr	fp_csh	fp_sti	fp_rec	fp_prp	fp_rm	fp_deex	fp_onin	fp_otfl	fp_tofl	fp_lost	fp_lode	fp_loin	fp_loto	fp_fior	fp_fide	fp_fias	fp_inbu	fp_clas	fp_fifx	fp_fito	fp_noas	fp_agas	fp_asto	fp_shbo	fp_shpa	fp_shsa	fp_shta	fp_fra	fp_prex	fp_prde	fp_ode	fp_otde	fp_flde	fp_lobo	fp_lopa	fp_otld	fp_ldto	fp_agd	fp_det	fp_unls	fp_lims	fp_ntt	fp_tt
2	2013	4000.01	0	646784	0	0	0	0	0	650784.01	0	0	0	0	0	0	0	0	0	0	0	0	0	650784.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650784.01	0	650784.01	650784.01
3	2013	4890262.96	0	1430000	0	0	0	0	0	6418614.03	102000000	0	0	102000000	0	0	0	0	0	0	0	0	0	108418614	0	133424	0	0	0	0	0	0	0	133424	0	0	0	0	0	133424	80609055.07	27676134.96	108285190	108418614
5	2013	4039480.65	0	0	0	0	0	0	0	4039480.65	0	0	0	0	9450	2887.61	6562.39	0	0	0	6562.39	0	0	4046043.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4046043.04	0	4046043.04	4046043.04
6	2013	2000812.78	0	0	0	0	0	0	0	2000812.78	0	0	0	0	0	0	0	0	0	0	0	0	0	2000812.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000812.78	0	2000812.78	2000812.78
7	2013	23959564.88	0	0	0	0	0	0	0	23959564.88	30000000	0	0	30000000	0	0	0	0	0	0	0	0	0	53959564.88	0	400	0	0	0	0	0	0	0	400	0	0	0	0	0	400	53959164.88	0	53959164.88	53959564.88
8	2013	13829692.11	0	200	0	0	0	0	0	13829892.11	0	0	0	0	2806963	0	2806963	0	0	0	2806963	0	0	16636855.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16636855.11	0	16636855.11	16636855.11
9	2013	142002.65	0	100000	0	0	0	0	0	242002.65	0	0	0	0	4680	4680	0	0	0	0	0	0	0	242002.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-386407.38	628410.03	242002.65	242002.65
10	2013	1906553.39	0	1879520	0	0	0	0	0	3841839.62	100000	0	0	100000	130000	40978.8	89021.2	0	0	0	89021.2	0	0	4030860.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4030860.82	0	4030860.82	4030860.82
11	2013	4576054.56	0	0	0	0	0	0	0	4576054.56	0	0	0	0	0	0	0	0	0	0	0	0	0	4576054.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4576054.56	0	4576054.56	4576054.56
