机构ID	机构名称	数据年度	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	其他支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_id	ba_cn 	fp_yr	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_othex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
1	一汽自主创新沈曾华奖励基金会	2014	3,000,000.00	3,000,000.00	0.00	3,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		600.00	0.00	0.00	0.00	600.00							
2	一达助学（伊春）基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		281,449.15	280,450.00	0.00	999.15	0.00							
3	万科公益基金会	2014	21,993,495.89	21,993,495.89	8,152,696.41	13,840,799.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		26,518,638.08	26,473,008.65	0.00	52,458.00	-6,828.57							
5	三亚市法律援助基金会	2014	10,000.00	10,000.00	0.00	10,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		162,455.62	126,900.00	24,000.00	11,555.62	0.00							
6	三明学院教育发展基金会	2014	29,746,620.00	29,746,620.00	746,620.00	29,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		400,732.00	400,000.00	0.00	732.00	0.00							
7	三江学院教育发展基金会	2014	235,000.00	235,000.00	25,000.00	210,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		30,147,030.00	30,141,725.00	0.00	5,305.00	0.00							
8	三江源生态保护基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,574,881.94	2,381,816.48	0.00	193,065.46	0.00							
9	三门县人民教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		6,482.50	0.00	0.00	6,482.50	0.00							
10	上海七弦古琴文化发展基金会	2014	12,052.00	12,052.00	12,052.00	0.00	0.00	0.00	0.00	0.00	135,480.00	135,480.00	0.00	135,480.00	0.00	0.00	0.00	0.00		377,226.85	352,380.65	8,280.00	16,566.20	0.00							
11	上海万宇慈善基金会	2014	600,000.00	600,000.00	0.00	600,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		345,542.00	336,000.00	0.00	9,500.00	42.00							
12	上海世华民族艺术瑰宝回归基金会	2014	500,000.00	500,000.00	300,000.00	200,000.00	0.00	0.00	0.00	0.00	8,000.00	8,000.00	8,000.00	0.00	0.00	0.00	0.00	0.00		358,554.97	347,151.64	0.00	11,403.33	0.00							
13	上海东华大学教育发展基金会	2014	8,715,755.42	8,437,590.30	1,158,440.00	7,279,150.30	278,165.12	0.00	278,165.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		7,379,456.00	7,362,765.00	0.00	16,691.00	0.00							
14	上海东方文化艺术基金会	2014	500,000.00	500,000.00	0.00	500,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,989,677.75	2,699,944.98	143,417.00	146,315.77	0.00							
15	上海东方爱心基金会	2014	30,000.00	30,000.00	30,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		108,159.52	98,424.72	0.00	9,734.80	0.00							
16	上海中华职业教育温暖工程基金会	2014	80,000.00	80,000.00	10,000.00	70,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		342,636.43	320,000.00	15,600.00	7,036.43	0.00							
17	上海中欧国际工商学院教育发展基金会	2014	56,247,812.06	56,247,812.06	56,247,812.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		31,307,194.10	28,877,275.71	821,207.39	1,608,711.00	0.00							
18	上海交响乐团文化发展基金会	2014	6,341,898.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,234,455.86	5,155,102.90	14,538.30	64,814.66	0.00							
19	上海交通大学教育发展基金会	2014	157,208,144.64	118,184,785.05	12,590,572.45	105,594,212.60	39,023,359.59	12,549,748.78	26,473,610.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		80,498,259.37	80,304,449.77	0.00	4,000.00	189,809.60							
20	上海仁德基金会	2014	2,274,479.27	2,274,479.27	1,399,868.95	874,610.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,390,249.06	3,015,901.89	191,285.29	62,965.13	120,096.75							
21	上海公安金盾基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		10,153,527.45	10,013,654.50	105,000.00	16,992.95	17,880.00							
