机构ID	机构名称	数据年度	接受捐赠收到的现金	收取会员费收到的现金	提供服务收到的现金	销售商品收到的现金	政府补贴收到的现金	收到的与其他业务有关的现金	业务活动现金流入小计	提供捐赠或者资助支付的现金	支付给员工以及员工支付的现金	购买商品接受服务支付的现金	支付的其他与业务有关的现金	业务活动现金流出小计	业务活动产生的现金净流量	收回投资所收到的现金	取得投资收益所收到的现金	处置固定资产和无形资产所收回的现金	收到的其他与投资有关的现金	投资活动现金流入小计	购建固定资产和无形资产所支付的现金	对外投资所支付的现金	支付的其他与投资活动有关的现金	投资活动现金流出小计	投资活动产生的现金流量净额	借款所收到的现金	收到的其他与筹资活动有关的现金	筹资活动现金流入小计	偿还借款所支付的现金	偿还利息所支付的现金	支付的其他与筹资活动有关的现金	筹资活动现金流出小计	筹措活动产生的现金流量净额	汇率变动对现金的影响	现金及现金等价物净增加额
ricf_id	ba_cn 	fp_yr	cf_doc	cf_soc	cf_srvc	cf_proc	cf_govc	cf_otca	cf_atci	cf_dopc	cf_stpc	cf_psc	cf_otpc	cf_atco	cf_anc	cf_inc	cf_inrc	cf_assc	cf_oc	cf_itci	cf_aspc	cf_inpc	cf_oinc	cf_tinc	cf_intc	cf_leca	cf_tfc	cf_tfic	cf_bopc	cf_inpc	cf_ofc	cf_tfoc	cf_nfl	cf_exch	cf_ninc
1	一汽自主创新沈曾华奖励基金会	2014	3,000,000.00	0.00	0.00	0.00	0.00	379,235.13	3,379,235.13	0.00	0.00	0.00	600.00	600.00	3,378,635.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3,378,635.13
2	一达助学（伊春）基金会	2014	0.00	0.00	0.00	0.00	0.00	278,450.00	278,450.00	280,450.00	0.00	0.00	999.15	281,449.15	-2,999.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2,999.15
3	万科公益基金会	2014	21,993,495.89	0.00	0.00	0.00	0.00	0.00	21,993,495.89	26,473,008.65	0.00	0.00	45,629.43	26,518,638.08	-4,525,142.19	77,268,691.00	9,245,330.71	0.00	0.00	86,514,021.71	0.00	70,000,000.00	0.00	70,000,000.00	16,514,021.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	248,414.00	12,237,293.52
5	三亚市法律援助基金会	2014	10,000.00	0.00	0.00	0.00	0.00	14,209.35	24,209.35	126,900.00	24,000.00	0.00	8,405.50	159,305.50	-135,096.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-135,096.15
6	三明学院教育发展基金会	2014	29,746,620.00	0.00	0.00	0.00	0.00	55,857.82	29,802,477.82	0.00	0.00	0.00	0.00	0.00	29,802,477.82	9,722.22	0.00	0.00	0.00	9,722.22	0.00	0.00	0.00	0.00	9,722.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29,812,200.04
7	三江学院教育发展基金会	2014	235,000.00	0.00	0.00	0.00	0.00	796,872.11	1,031,872.11	147,030.00	0.00	0.00	20,000,000.00	20,147,030.00	-19,115,157.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-19,115,157.89
8	三江源生态保护基金会	2014	0.00	0.00	0.00	0.00	0.00	4,795,354.75	4,795,354.75	0.00	193,065.46	0.00	2,567,685.48	2,760,750.94	2,034,603.81	0.00	0.00	0.00	0.00	0.00	111,700.00	313,000,000.00	0.00	313,111,700.00	-313,111,700.00	300,000,000.00	0.00	300,000,000.00	0.00	0.00	0.00	0.00	300,000,000.00	0.00	-11,077,096.19
9	三门县人民教育基金会	2014	0.00	0.00	0.00	0.00	0.00	491.58	491.58	0.00	0.00	0.00	6,482.50	6,482.50	-5,990.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-5,990.92
10	上海七弦古琴文化发展基金会	2014	12,052.00	0.00	0.00	0.00	200,000.00	3,220.82	215,272.82	0.00	4,920.00	452,020.62	1,599,738.89	2,056,679.51	-1,841,406.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1,841,406.69
