机构ID	机构名称	数据年度	捐赠收入_限定	会费收入_限定	提供服务收入_限定	政府购买服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	调整净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	政府购买服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	调整净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
ricf_id	ba_cn 	fp_yr	fa_dine	fa_asine	fa_sine	fa_gse	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_chase	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_gsu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_chasu	fa_nechu
1	一汽自主创新沈曾华奖励基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	3,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	379,235.13	3,379,235.13	0.00	0.00	600.00	0.00	600.00	0.00		3,378,635.13
2	一达助学（伊春）基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	280,450.00	999.15	0.00	0.00	281,449.15	0.00		-281,449.15
3	万科公益基金会	2014	16,939,954.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16,939,954.17	26,473,008.65	0.00	0.00	0.00	26,473,008.65	0.00		-9,533,054.48	5,053,541.72	0.00	0.00	0.00	0.00	0.00	9,245,330.71	0.00	14,298,872.43	0.00	52,458.00	0.00	-6,828.57	45,629.43	0.00		14,253,243.00
5	三亚市法律援助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	10,000.00	0.00	0.00	0.00	0.00	0.00	0.00	14,209.35	24,209.35	126,900.00	35,555.62	0.00	0.00	162,455.62	0.00		-138,246.27
6	三明学院教育发展基金会	2014	29,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00		29,000,000.00	746,620.00	0.00	0.00	0.00	0.00	0.00	0.00	65,580.00	812,200.00	400,000.00	0.00	0.00	732.00	400,732.00	0.00		411,468.04
7	三江学院教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	235,000.00	0.00	0.00	0.00	0.00	0.00	0.00	796,872.11	1,031,872.11	30,141,725.00	5,305.00	0.00	0.00	30,147,030.00	0.00		-29,115,157.89
8	三江源生态保护基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	4,381,539.73	413,815.02	4,795,354.75	2,381,816.48	193,065.46	0.00	0.00	2,574,881.94	0.00		2,220,472.81
9	三门县人民教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	491.58	491.58	0.00	6,482.50	0.00	0.00	6,482.50	0.00		-5,990.92
10	上海七弦古琴文化发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	147,532.00	0.00	0.00	0.00	0.00	200,000.00	0.00	1,610.41	349,142.41	352,380.65	24,846.20	0.00	0.00	377,226.85	0.00		-28,084.44
