机构ID	数据年度	机构名称	基金会英文名称	登记证号	组织机构代码	宗旨	业务范围	基金会类型	成立时间	原始基金数额	登记部门	业务主管单位	基金会地址	邮编	秘书长	理事长	对外联系人姓名	联系人职务	联系人固话	联系人传真	联系人电子邮箱	机构官网	负责人中国家工作人员数	负责人中担任过省部级工作人员数	专项基金数	专职工作人员数	志愿者数量	评估情况	税收优惠资格取得情况
ricf_id	ba_rdt	ba_cn	ba_en	ba_rid	ba_org	ba_msn	ba_srv	ba_ntr	ba_fdt	ba_fnd	ba_reg	ba_sup	ba_add	ba_zip	ba_sec	ba_chr	ba_cpn	ba_cpp	ba_phn	ba_fax	ba_eml	ba_wb	ba_gvm	ba_pgv	ba_sf	ba_nfe	ba_nv	ba_evl	ba_tax
1	2014	一汽自主创新沈曾华奖励基金会	FAW Shen Cenghua Innovation Award Foundation	基证字第[2007]54号	66875408-0	促进中国第一汽车集团公司自主品牌与自主创新的发展，激励一汽员工为自主品牌与创新做出优异的成绩。	奖励一汽所属各单位为自主品牌与科技创新做出突出贡献的科技成果。	非公募	2007年07月31日	250万元	省级民政部门	一汽党委	吉林省长春市朝阳区东风大街2259号B座9楼	130011	田洪福	徐宪平	冯佳奇	一汽集团公司规划部	0431-85737650	0431-85737586	fjq_ghb@fawq.com.cn								
2	2014	一达助学（伊春）基金会	Yichun Yida Students Grants Foundation	黑基证字第0037号	56060170-1	资助伊春籍品学兼优家庭贫困的学生完成学业。	资助伊春籍品学兼优家庭贫困学子完成学业;基金管理与运用,促进基金保值增值。	非公募	2011年11月16日	200万元	省级民政部门	黑龙江省伊春市教育局	黑龙江省哈尔滨市南岗区文库街10号9单元305室	150040	李时民	张一达	张凤芹	会计	0451-86201389	0451-86201389	zfq15146464099@163.com								无
3	2014	万科公益基金会	Vanke Public Welfare Foundation	基证字第1056号	50002117-4	倡导公益与志愿精神,推动中国公益事业发展。	扶贫助残；扶贫教育等方面公益项目进行资助；扶贫教育相关的公益培训、公益论坛、国际公益交流活动。	非公募	2008年09月04日	5,000万元	民政部	民政部	广东省深圳市盐田区大梅沙环梅路33号万科中心号	518083	杨彦	周卫军	吴良	秘书长助理	0755-25606666	0755-25531696	Vkf@vanke.com	http://www.vankefoundation.org/	0.0	0.0	0.0	6.0	2156.0	3A	公益性捐赠税前扣除资格
4	2014	三亚宪清养老基金会	Sanya Xianqing Foundation for the Elderly	(琼)登记批准基字[2010]第201202号	58925183-X	None	募集资金；向社会上贫困老年人进行专项资助；公益扶贫	非公募	2012年01月10日	200万元	省级民政部门	三亚市民政局	海南省三亚市迎宾路聚鑫园G座四层401室	572000		陈宪清			0898-88688444										
5	2014	三亚市法律援助基金会	Sanya Legal Aid Foundation	(琼)登记批准基字[2011]第201103号	57873617-X	保障有经济困难的公民获得必要的法律服务，维护司法公正和社会正义，保障人权，推动三亚法律援助事业持续发展。	接受来自国（境）内外的捐赠，开展符合法律援助基金会宗旨的各项活动。	公募	2011年09月07日	400万元	省级民政部门	海南省司法厅	海南省三亚市新风街42号水利大厦	572000	邓振海	陈堪富	林炽皇	文秘	0898-88205782	0898-88284934	451831126@qq.com		0.0	0.0	0.0	3.0	0.0		无
6	2014	三明学院教育发展基金会	Sanming College Education Foundation	明基证字第8001号	448972595-4	推动三明学院教育发展事业，提高三明学院教育质量和学术水平。	奖励优秀教师和优秀学生及在基础科学研究方面取得成果的先进集体与先进个人；资助贫困学生顺利完成学业、骨干老师出国深造。	非公募	2013年12月06日	200万元	市级民政部门	三明市民政局	福建省三明市三元区荆东路25号北区行政楼3楼计划财务处306室	365004	俞白桦	王政	黄国祥	办事员	0598-8398098	0598-8399213	1848149806@qq.com		0.0	0.0	0.0	0.0	50.0	1A	非营利组织免税资格
7	2014	三江学院教育发展基金会	Sanjiang University Education Development Foundation	苏民基证字第00049号	50915814-2	遵守中华人民共和国宪法、法律、法规、规章和国家政策,遵守社会道德风尚\致力于加强三江学院与国内外各界的联系和合作,募集办学资金、奖励三江学院师生,推动三江学院教育事业的发展。	加强与国内外合作、接受捐赠、奖励、资助优秀师生和贫困学生，支持学校建设。	非公募	2006年04月27日	200万元	省级民政部门	江苏省教育厅	江苏省南京市雨花台区龙西路10号	210012	陈宁慧	陈万年	陈宁慧	秘书长	025-52354968	025-52897067	chenrr@sju.js.cn								公益性捐赠税前扣除资格
8	2014	三江源生态保护基金会	Three Rivers Source Ecology Conservation Foundation	基证字第97599号	59502629-2	广泛募集、多方筹措、保护生态、持续发展。	承担三江源生态保护基金的募集和管理工作；组织开展与三江源生态保护相关的宣传教育、学术交流、国际合作等活动；资助和开展保护三江源生态和资源；奖励为三江源生态保护事业做出突出贡献的组织和个人；为增加本基金会资产而进行的基金保值、增值运作和投资活动。	公募	2012年10月22日	1,000万元	省级民政部门	青海省发展和改革委员会	青海省西宁市城西区昆仑路30号	810001	姚洪仲	马福海	谢沛		0971-6334797	0971-6334841	sepforg@163.com	http://www.sepf.org.cn	0.0	1.0	0.0	4.0	270.0	未参评	公益性捐赠税前扣除资格
9	2014	三门县人民教育基金会	Sanmen People's Education Foundation	浙基证字第51006号	76641521-8	本基金会宗旨：遵守国家宪法、法律法规和政策，遵守社会道德风尚，为振兴三门教育动员社会各方面力量，多渠道筹集资金，资助贫困家庭子女就学，支持各级各类学校建设，奖励优秀教师品学兼优学生和为教育发展作出突出贡献的团体和社会各界人士，促进三门教育健康持续发展．	资助贫困家庭学生，学校修建校舍和更新教学设备，奖励先进教育工作者和优秀学生。	公募	2004年09月03日	400万元	省级民政部门	浙江省教育厅	浙江省台州市三门县三门县教育局计财科（浙江省三门县中海路2号）	317100	周方铬	管兴镯	陈胜	会计	0576-83332563	0576-3338991	cs@smedu.org	http://www.smedu.org/zhuanti/ShowClass.asp?ClassID=91	0.0	0.0	0.0	0.0	11.0	未参评	无
