	ao_ad	ao_adex	ao_adn	ao_ate	ao_cc	ao_dd	ao_ddc	ao_ddi	ao_ddin	ao_ddn	ao_ddnn	ao_lst	ao_nni	ao_nnin	ao_od	ao_odi	ao_odin	ao_odn	ao_odnn	ao_odt	ao_oth	ao_slr	ba_cn	fp_yr	ricf_oid
0	0.00	72,585.86	0.00	1,664,414.32	1,395,836.76	0.00	0.00	0.00	0.00	0.00	0.00	299,037.50	null	null	0.00	0.00	0.00	0.00	0.0	0.00	null	67,684.74	漳州市见义勇为基金会	2015	2645
1	356,300.00	9,090.00	150,000.00	238,302.62	222,755.00	356,300.00	356,300.00	0.00	0.00	150,000.00	150,000.00	31,757,275.45	0.00	0.0	0.00	0.00	0.00	0.00	0.0	0.00	457.62	6,000.00	河南省老年文化事业发展基金会	2015	2147
2	2,503,980.12	85,563.81	14,914,160.56	22,564,064.75	22,347,122.21	2,503,980.12	53,385.12	2,450,595.00	14,914,160.56	14,914,160.56	0.00	17,636,607.50	null	null	0.00	0.00	0.00	0.00	0.0	0.00	0.00	131,378.73	吉林省残疾人福利基金会	2015	928
3	20,788,253.13	198,566.50	504.00	13,966,913.33	13,228,861.23	20,275,023.68	2,765,908.90	17,509,114.78	0.00	504.00	504.00	5,000,000.00	null	null	513,229.45	513,229.45	0.00	0.00	0.0	0.00	0.00	960,455.43	陈香梅公益基金会	2015	3161
4	53,726,123.00	1,154,772.10	37,685,084.36	106,002,229.63	102,466,811.18	49,120,116.79	410,000.00	48,710,116.79	37,685,084.36	37,685,084.36	0.00	2,249,630.38	0.00	0.0	4,606,006.21	4,606,006.21	0.00	0.00	0.0	0.00	-5,125.82	2,385,772.17	中国青年创业就业基金会	2015	276
5	296,924.10	0.00	0.00	51,762.40	50,000.00	296,924.10	0.00	296,924.10	0.00	0.00	0.00	100,319,785.96	0.00	0.0	0.00	0.00	0.00	0.00	0.0	0.00	0.00	0.00	云南云投建设扶贫教育基金会	2015	4692
6	38,000,000.00	15,400.00	0.00	38,315,400.00	38,300,000.00	38,000,000.00	0.00	38,000,000.00	0.00	0.00	0.00	2,301,196.79	0.00	0.0	0.00	0.00	0.00	0.00	0.0	0.00	0.00	0.00	中国移动慈善基金会	2015	263
7	3,000,000.00	14,767.50	0.00	3,053,612.04	3,000,000.00	3,000,000.00	0.00	3,000,000.00	0.00	0.00	0.00	382,203,482.01	0.00	0.0	0.00	0.00	0.00	0.00	0.0	0.00	0.00	38,634.54	河南省民营企业信用发展基金会	2015	2133
8	21,947,600.00	141,905.31	0.00	33,287,739.31	33,070,794.00	9,947,600.00	10,000.00	9,937,600.00	0.00	0.00	0.00	1,500,000.00	null	null	12,000,000.00	12,000,000.00	0.00	0.00	0.0	0.00	null	75,040.00	中远海运慈善基金会	2015	284
9	129,151,072.34	1,503,750.02	0.00	138,165,328.54	135,417,685.80	129,151,072.34	601,071.36	128,550,000.98	0.00	0.00	0.00	0.00	0.00	0.0	0.00	0.00	0.00	0.00	0.0	0.00	56,571.22	1,187,321.50	河南省宋庆龄基金会	2015	2115
10	0.07	55.00	0.00	55.00	0.00	0.07	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.00	0.00	0.00	0.00	0.0	0.00	0.00	0.00	天津市孝慈文化发展基金会	2015	4742
11	450,200.00	8,573.89	91,298.78	1,530,564.33	1,394,849.88	450,200.00	200.00	450,000.00	91,298.78	91,298.78	0.00	2,731,864.51	0.00	0.0	0.00	0.00	0.00	0.00	0.0	0.00	17,683.99	109,456.57	云南省温暖工程慈善基金会	2015	343
12	619,701.15	0.00	0.00	216,221.53	209,039.63	619,701.15	0.00	619,701.15	0.00	0.00	0.00	1,974,759.64	0.00	0.0	0.00	0.00	0.00	0.00	0.0	0.00	16,750.50	15,000.00	浙江省新台州人健康救助基金会	2015	2288
13	20,000.00	23,015.00	0.00	23,215.00	0.00	20,000.00	0.00	20,000.00	0.00	0.00	0.00	200,073,380.98	null	null	0.00	0.00	0.00	0.00	0.0	0.00	200.00	0.00	浙江省合盛慈善基金会	2015	2265
14	24,000,000.00	118,381.86	0.00	33,616,093.51	32,695,000.00	24,000,000.00	0.00	24,000,000.00	0.00	0.00	0.00	2,000,000.00	null	null	0.00	0.00	0.00	0.00	0.0	0.00	535,012.95	267,698.70	泛海公益基金会	2015	2176
15	40,463,698.00	1,247,935.32	0.00	26,285,342.09	24,077,763.87	40,463,698.00	3,088,200.00	37,375,498.00	0.00	0.00	0.00	398,444.40	0.00	0.0	0.00	0.00	0.00	0.00	0.0	0.00	0.00	959,642.90	中华社会文化发展基金会	2015	189
16	5,909,788.40	66,132.58	0.00	9,826,708.58	9,760,576.00	5,909,788.40	813,000.00	5,096,788.40	0.00	0.00	0.00	2,169,786.18	0.00	0.0	0.00	0.00	0.00	0.00	0.0	0.00	null	52,200.00	云南省光彩事业基金会	2015	3618
17	750,000.00	13,089.90	0.00	842,308.57	749,189.02	750,000.00	0.00	750,000.00	0.00	0.00	0.00	14,235,877.84	null	null	0.00	0.00	0.00	0.00	0.0	0.00	65,629.65	14,400.00	云南士恒教育基金会	2015	319
18	6,863,030.80	14,031.55	0.00	5,753,596.49	5,739,564.94	6,863,030.80	574,530.80	6,288,500.00	0.00	0.00	0.00	3,405,755.02	0.00	0.0	0.00	0.00	0.00	0.00	0.0	0.00	0.00	0.00	辽宁省大连海事大学教育发展基金会	2015	3011
