	ricf_oid	ba_cn	fp_yr	cf_doc	cf_soc	cf_srvc	cf_proc	cf_govc	cf_otca	cf_atci	cf_dopc	cf_stpc	cf_psc	cf_otpc	cf_atco	cf_anc	cf_inc	cf_inrc	cf_assc	cf_oc	cf_itci	cf_aspc	cf_invs	cf_oinc	cf_tinc	cf_intc	cf_leca	cf_tfc	cf_tfic	cf_bopc	cf_inpc	cf_ofc	cf_tfoc	cf_nfl	cf_exch	cf_ninc
0	2645	漳州市见义勇为基金会	2015	0.00	0.00	0.00	0.00	402,882.34	58,523.86	461,406.20	1,316,836.76	107,879.96	70,289.64	0.00	1,495,006.36	-1,033,600.16	0.00	1,342,000.00	0.00	0.00	1,342,000.00	0.00	0.00	0.00	0.00	1,342,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	308,399.84
1	2147	河南省老年文化事业发展基金会	2015	506,300.00	0.00	0.00	0.00	0.00	-200,300.00	306,000.00	222,755.00	6,000.00	0.00	15,547.62	244,302.62	61,697.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	61,697.38
2	928	吉林省残疾人福利基金会	2015	2,503,980.12	0.00	0.00	0.00	0.00	1,768,283.42	4,272,263.54	3,112,257.71	131,378.73	298,181.81	121,985.00	3,663,803.25	608,460.29	0.00	0.00	0.00	0.00	0.00	2,198.00	0.00	0.00	2,198.00	-2,198.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	606,262.29
3	3161	陈香梅公益基金会	2015	20,672,607.05	0.00	0.00	0.00	0.00	257,630.32	20,930,237.37	13,171,557.05	798,268.04	99,326.46	744,502.00	14,813,653.55	6,116,583.82	50,215,000.00	484,085.50	0.00	0.00	50,699,085.50	15,498.00	53,870,000.00	0.00	53,885,498.00	-3,186,412.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,930,171.32
4	276	中国青年创业就业基金会	2015	61,165,208.00	0.00	0.00	0.00	0.00	10,647,797.46	71,813,005.46	64,515,657.80	2,383,627.17	0.00	1,144,859.70	68,044,144.67	3,768,860.79	0.00	0.00	0.00	0.00	0.00	103,255.00	800,000.00	0.00	903,255.00	-903,255.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35,164.72	2,900,770.51
5	4692	云南云投建设扶贫教育基金会	2015	296,924.10	0.00	0.00	0.00	0.00	4,468.68	301,392.78	50,000.00	0.00	0.00	1,762.40	51,762.40	249,630.38	2,000,000.00	0.00	0.00	0.00	2,000,000.00	0.00	0.00	0.00	0.00	2,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,249,630.38
6	263	中国移动慈善基金会	2015	38,000,000.00	0.00	0.00	0.00	0.00	0.00	38,000,000.00	38,300,000.00	0.00	0.00	15,400.00	38,315,400.00	-315,400.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,024,401.70	1,024,401.70	0.00	0.00	0.00	0.00	1,024,401.70	0.00	709,001.70
7	2133	河南省民营企业信用发展基金会	2015	3,000,000.00	0.00	0.00	0.00	0.00	7,964.33	3,007,964.33	3,000,000.00	53,402.04	0.00	1,449,518.50	4,502,920.54	-1,494,956.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1,494,956.21
8	284	中远海运慈善基金会	2015	21,947,600.00	0.00	0.00	0.00	1,000,000.00	449,944.21	23,397,544.21	33,168,089.25	74,951.00	0.00	134,952.97	33,377,993.22	-9,980,449.01	275,597,399.05	26,069,749.95	0.00	0.00	301,667,149.00	0.00	307,907,254.79	0.00	307,907,254.79	-6,240,105.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9	2115	河南省宋庆龄基金会	2015	129,151,072.34	0.00	0.00	0.00	0.00	8,511,622.63	137,662,694.97	135,357,205.80	1,470,063.10	0.00	1,411,380.31	138,238,649.21	-575,954.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-575,954.24
