机构ID	机构名称	捐赠收入_限定	会费收入_限定	提供服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
ricf_oid	ba_cn	fa_dine	fa_asine	fa_sine	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_nechu
3	万科公益基金会	17114972.97	0	0	0	0	0	0	17114972.97	26801681.64	0	0	0	26801681.64	0	-9686708.67	79108217.88	0	0	0	0	5231562.67	0	84339780.55	0	8812	0	-1606206.93	-1597394.93	0	85937175.48
6	三明学院教育发展基金会	6000000	0	0	0	0	0	0	6000000	0	0	0	0	0	0	6000000	110000	0	0	0	0	0	74741.62	184741.62	238850	6448	0	1583.97	246881.97	0	-62140.35
8	三江源生态保护基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2350000	0	0	0	0	7495498.34	15819.4	9861317.74	3362814.24	170337.15	0	0	3533151.39	0	6328166.35
9	三门县人民教育基金会	0	0	0	0	0	0	0	0	40000	0	0	0	40000	0	-40000	244463.64	0	0	0	0	0	5828.96	250292.6	0	5800	0	0	5800	0	244492.6
10	上海七弦古琴文化发展基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	32446.6	33446.6	58442.68	5503.12	0	0	63945.8	0	-30499.2
11	上海万宇慈善基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194134.8	0	194134.8	13500	1800	0	3	15303	0	178831.8
12	上海世华民族艺术瑰宝回归基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853520	0	0	0	0	0	570.68	854090.68	689017.98	35607	0	0	724624.98	0	129465.7
13	上海东华大学教育发展基金会	5417686.26	0	0	0	0	0	19500	5437186.26	8314391	0	0	0	8314391	0	-2877204.74	200000	0	0	0	0	0	485629.48	685629.48	350000	9350	0	0	359350	0	326279.48
14	上海东方文化艺术基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931200	0	0	0	0	0	4068.72	935268.72	925404.15	58017.9	0	1527	984949.05	0	-49680.33
15	上海东方爱心基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800000	0	0	0	0	55000	0	855000	178424.72	14558.62	1376.24	0	194359.58	0	660640.42
16	上海中华职业教育温暖工程基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312431	0	0	0	0	0	88483.45	400914.45	400000	24072.59	0	0	424072.59	0	-23158.14
17	上海中欧国际工商学院教育发展基金会	27064601.98	0	0	0	0	0	0	27064601.98	18536297.46	0	-95953.28	0	18440344.18	-78250	8546007.8	16692566.52	0	0	0	0	0	0	16692566.52	1534800	1706000	-2715970.25	0	524829.75	78250	16245986.77
18	上海交响乐团文化发展基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14990323	0	0	0	0	5000000	171216.25	20161539.25	5415481.38	266023.67	0	0	5681505.05	0	14480034.2
19	上海交通大学教育发展基金会	226099199	0	0	0	0	41866385.99	11913.77	267977498.76	0	0	0	0	0	-191128966.41	76848532.35	180000	0	0	0	0	166043025.79	1002686.78	167225712.57	255906988.45	3825153.46	-122.46	0	259732019.45	191128966.41	98622659.53
20	上海仁德基金会	4034116.74	0	0	0	0	0	0	4034116.74	0	0	0	0	0	0	4034116.74	211248.62	0	0	0	0	200143.83	4939.7	416332.15	2329687.45	236022.98	112730.66	3265.87	2681706.96	0	-2265374.81
21	上海公安金盾基金会	25600000	0	0	0	0	0	0	25600000	0	0	0	0	0	0	25600000	13400000	0	0	0	0	0	1825824.8	15225824.8	11365318.5	21346.3	330	0	11386994.8	0	3838830
22	上海兴华教育扶贫基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5534806.77	0	0	0	0	2499499.6	27311.97	8061618.34	6720870.36	472754.41	810.49	147872.35	7342307.61	0	719310.73
23	上海兴韦信息技术职业学院教育发展基金会	10485600	0	0	0	0	0	0	10485600	9920000	0	0	0	9920000	0	565600	500000	0	0	0	0	0	1411.25	501411.25	0	11500	817	0	12317	0	489094.25
26	上海华东政法大学教育发展基金会	4643129	0	0	0	0	70255.08	0	4713384.08	2651614.35	0	0	0	2651614.35	0	2061769.73	101121.04	0	0	0	0	189382.74	40368.17	330871.95	7847.16	134092.49	0	0	141939.65	0	188932.3
27	上海华东理工大学教育发展基金会	7020291.48	0	0	0	0	0	0	7020291.48	5109072.58	0	0	0	5109072.58	0	1911218.9	0	0	0	0	0	0	21724.41	21724.41	0	21724.41	0	0	21724.41	0	0
28	上海华信公益基金会	1100000	0	0	0	0	0	0	1100000	488161.7	0	0	0	488161.7	0	611838.3	12130324.01	0	0	0	0	0	915291.2	13045615.21	10614178.31	1005019.66	4751.7	0	11623949.67	0	1421665.54
29	上海华杰仁爱基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2100000	0	0	0	0	1200000	3860.58	3303860.58	1514639	49990.6	0	0	1564629.6	0	1739230.98
30	上海发展昆剧基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68524.54	68524.54	211099.64	1085	0	0	212184.64	0	-143660.1
