Unnamed: 0	ba_cn	fp_agas_begin	fp_agas_end	fp_agd_begin	fp_agd_end	fp_asto_begin	fp_asto_end	fp_clas_begin	fp_clas_end	fp_csh_begin	fp_csh_end	fp_deex_begin	fp_deex_end	fp_det_begin	fp_det_end	fp_fias_begin	fp_fias_end	fp_fide_begin	fp_fide_end	fp_fifx_begin	fp_fifx_end	fp_fior_begin	fp_fior_end	fp_fito_begin	fp_fito_end	fp_flde_begin	fp_flde_end	fp_fra_begin	fp_fra_end	fp_inbu_begin	fp_inbu_end	fp_ldto_begin	fp_ldto_end	fp_lims_begin	fp_lims_end	fp_lobo_begin	fp_lobo_end	fp_lode_begin	fp_lode_end	fp_lopa_begin	fp_lopa_end	fp_lost_begin	fp_lost_end	fp_loto_begin	fp_loto_end	fp_noas_begin	fp_noas_end	fp_ntt_begin	fp_ntt_end	fp_ode_begin	fp_ode_end	fp_onin_begin	fp_onin_end	fp_otde_begin	fp_otde_end	fp_otfl_begin	fp_otfl_end	fp_otld_begin	fp_otld_end	fp_prde_begin	fp_prde_end	fp_prex_begin	fp_prex_end	fp_prp_begin	fp_prp_end	fp_rec_begin	fp_rec_end	fp_rm_begin	fp_rm_end	fp_shbo_begin	fp_shbo_end	fp_shpa_begin	fp_shpa_end	fp_shsa_begin	fp_shsa_end	fp_shta_begin	fp_shta_end	fp_sti_begin	fp_sti_end	fp_tofl_begin	fp_tofl_end	fp_tt_begin	fp_tt_end	fp_unls_begin	fp_unls_end	fp_yr	ricf_oid
0	山东省妇女儿童发展基金会	0	0	0	0	4,624,154.19	4,503,314.49	0	0	4,423,393.39	4,302,553.69	0	0	0	0	650.8	650.8	12,365.2	12,365.2	0	0	13,016	13,016	650.8	650.8	0	0	0	0	0	0	0	0	1,435,071.03	1,318,708.83	0	0	0	0	0	0	0	0	0	0	0	0	4,624,154.19	4,503,314.49	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	200,110	200,110	0	0	0	0	0	0	0	0	0	0	4,623,503.39	4,502,663.69	4,624,154.19	4,503,314.49	3,189,083.16	3,184,605.66	2015	1288
1	伊金霍洛旗扶贫基金会		0.00		0.00		5,706,995.68		0.00		103,014.51		0.00		0.00		3,981.17		4,817.83		0.00		8,799.00		3,981.17		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,706,995.68		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		5,600,000.00		5,703,014.51		5,706,995.68		5,706,995.68	2015	375
2	苏州汇凯爱心基金会		0.00		0.00		1,306,450.56		0.00		71,818.06		0.00		0.00		232.50		1,567.50		0.00		1,800.00		232.50		0.00				0.00		0.00		0.00		0.00		0.00		0.00		100,000.00		100,000.00		0.00		1,306,450.56		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		1,134,400.00				0.00		0.00		0.00		0.00		0.00		1,206,218.06		1,306,450.56		1,306,450.56	2015	2909
3	伊金霍洛旗人民教育基金会																																																																																					2015	372
4	苏州科技学院教育发展基金会																																																																																					2015	2910
5	准格尔旗教育发展基金会		0.00		0.00		24,067,685.30		0.00		2,923,685.30		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		23,668,000.00		0.00		0.00		0.00		0.00		0.00		0.00		24,067,685.30		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		21,144,000.00		24,067,685.30		24,067,685.30		399,685.30	2015	465
6	苏州市沧浪区慈善基金会																																																																																					2015	2900
7	苏州市慈善基金会		0.00		0.00		48,084,274.29		0.00		29,102,898.82		0.00		849,625.00		26,375.47		23,504.53		0.00		49,880.00		26,375.47		849,625.00				0.00		0.00		38,054,165.50		0.00		0.00		0.00		0.00		0.00		0.00		47,234,649.29		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,000.00				0.00		849,625.00		0.00		0.00		18,950,000.00		48,057,898.82		48,084,274.29		9,180,483.79	2015	2897
8	苏州市法律援助基金会		0.00		0.00		21,564,100.00		0.00		1,552,700.00		0.00		112,300.00		11,400.00		6,300.00		0.00		17,700.00		11,400.00		112,300.00				0.00		0.00		12,805,000.00		0.00		0.00		0.00		0.00		0.00		0.00		21,451,800.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		112,300.00		0.00		0.00		20,000,000.00		21,552,700.00		21,564,100.00		8,646,800.00	2015	2901
9	苏州市见义勇为基金会		0.00		0.00		41,315,295.00		0.00		15,328,999.00		0.00		71,525.00		127,857.00		0.00		0.00		127,857.00		127,857.00		71,525.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		41,243,770.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		858,439.00				0.00		71,525.00		0.00		0.00		25,000,000.00		41,187,438.00		41,315,295.00		41,243,770.00	2015	2904
