Unnamed: 0	ricf_oid	ba_cn	fp_yr	fp_csh_begin	fp_sti_begin	fp_rec_begin	fp_prp_begin	fp_rm_begin	fp_deex_begin	fp_onin_begin	fp_otfl_begin	fp_tofl_begin	fp_lost_begin	fp_lode_begin	fp_loto_begin	fp_fior_begin	fp_fide_begin	fp_fias_begin	fp_inbu_begin	fp_clas_begin	fp_fifx_begin	fp_fito_begin	fp_noas_begin	fp_agas_begin	fp_asto_begin	fp_shbo_begin	fp_shpa_begin	fp_shsa_begin	fp_shta_begin	fp_fra_begin	fp_prex_begin	fp_prde_begin	fp_ode_begin	fp_otde_begin	fp_flde_begin	fp_lobo_begin	fp_lopa_begin	fp_otld_begin	fp_ldto_begin	fp_agd_begin	fp_det_begin	fp_unls_begin	fp_lims_begin	fp_ntt_begin	fp_tt_begin	fp_csh_end	fp_sti_end	fp_rec_end	fp_prp_end	fp_rm_end	fp_deex_end	fp_onin_end	fp_otfl_end	fp_tofl_end	fp_lost_end	fp_lode_end	fp_loto_end	fp_fior_end	fp_fide_end	fp_fias_end	fp_inbu_end	fp_clas_end	fp_fifx_end	fp_fito_end	fp_noas_end	fp_agas_end	fp_asto_end	fp_shbo_end	fp_shpa_end	fp_shsa_end	fp_shta_end	fp_fra_end	fp_prex_end	fp_prde_end	fp_ode_end	fp_otde_end	fp_flde_end	fp_lobo_end	fp_lopa_end	fp_otld_end	fp_ldto_end	fp_agd_end	fp_det_end	fp_unls_end	fp_lims_end	fp_ntt_end	fp_tt_end
0	2161	河南省青年创业就业基金会	2016	6,885,744.72	0.00	85,680.00	0.00 	0.00	0.00	0.00	0.00	6,971,424.72	0.00	0.00	0.00	96,600.00	29,466.00	67,134.00	0.00	0.00	0.00	67,134.00	0.00	0.00	7,038,558.72	0.00	492,267.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	492,267.32	0.00	0.00	0.00	0.00	0.00	492,267.32	2,546,291.40	2,546,291.40	6,546,291.40	7,038,558.72	5,213,828.21	0.00	85,680.00	0.00	0.00	0.00	0.00	0.00	5,299,508.21	0.00	0.00	0.00	420,600.00	107,797.26	312,802.74	0.00	0.00	0.00	312,802.74	0.00	0.00	5,612,310.95	0.00	242,267.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	242,267.32	0.00	0.00	0.00	0.00	0.00	242,267.32	1,370,043.63	1,370,043.63	5,370,043.63	5,612,310.95
1	1364	岱山县人民教育基金会	2016	7,706,951.60	0.00	0.00	0.00 	0.00	0.00	0.00	0.00	7,706,951.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7,706,951.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6,211,043.48	6,211,043.48	7,706,951.60	7,706,951.60	9,861,352.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9,861,352.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9,861,352.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9,861,352.00	9,861,352.00	9,861,352.00	9,861,352.00
2	2213	浙江华策影视育才教育基金会	2016	574,301.58	0.00	0.00	0.00 	0.00	0.00	0.00	0.00	574,301.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	574,301.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	574,301.58	574,301.58	574,301.58	574,301.58	555,371.45	0.00	7,600.00	0.00	0.00	0.00	0.00	330.00	563,301.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	563,301.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	563,301.45	563,301.45	563,301.45	563,301.45
3	3889	云南华瑞教育发展基金会	2016	401,496.39	0.00	2,000,000.00	0.00 	0.00	0.00	0.00	0.00	2,401,496.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,401,496.39	0.00	100,000.00	0.00	-56,000.00	0.00	0.00	0.00	0.00	0.00	44,000.00	0.00	0.00	0.00	0.00	0.00	44,000.00	2,357,496.39	2,357,496.39	2,357,496.39	2,401,496.39	2,383,367.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,383,367.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,383,367.43	0.00	100,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100,000.00	0.00	0.00	0.00	0.00	0.00	100,000.00	2,283,367.43	2,283,367.43	2,283,367.43	2,383,367.43
4	5095	辽宁省和光公益基金会	2016	427,242.76	0.00	1,800,000.00	0.00 	0.00	0.00	0.00	0.00	2,227,242.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,227,242.76	0.00	30,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30,000.00	0.00	0.00	0.00	0.00	0.00	30,000.00	347,242.76	347,242.76	2,197,242.76	2,227,242.76	169,748.56	0.00	2,018,748.05	0.00	0.00	0.00	0.00	0.00	2,188,496.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,916,000.00	0.00	4,104,496.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,254,496.61	2,254,496.61	4,104,496.61	4,104,496.61
5	2144	河南省福兴儿童公益基金会	2016	2,290,085.61	0.00	0.00	0.00 	124,261.00	0.00	0.00	0.00	2,414,346.61	0.00	0.00	0.00	360,803.52	95,724.48	265,079.04	0.00	0.00	0.00	265,079.04	0.00	0.00	2,679,425.65	0.00	438,171.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	438,171.32	0.00	0.00	0.00	0.00	0.00	438,171.32	2,241,254.33	2,241,254.33	2,241,254.33	2,679,425.65	2,317,474.14	0.00	0.00	0.00	116,267.05	0.00	0.00	0.00	2,433,741.19	0.00	0.00	0.00	360,803.52	120,142.72	240,660.80	0.00	0.00	0.00	240,660.80	0.00	0.00	2,674,401.99	0.00	494,663.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	494,663.08	0.00	0.00	0.00	0.00	0.00	494,663.08	2,179,738.91	2,179,738.91	2,179,738.91	2,674,401.99
6	2105	河南省华康爱心教育基金会	2016	5,653,568.67	0.00	0.00	0.00 	0.00	0.00	0.00	0.00	5,653,568.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,653,568.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13,478.76	13,478.76	5,653,568.67	5,653,568.67	5,207,702.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,207,702.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,207,702.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-267,354.35	-267,354.35	5,207,702.55	5,207,702.55
7	3638	章如庚慈善基金会	2016	750,165.12	10,975,716.00	453,988.80	80,000.30 	6,029,554.20	0.00	0.00	0.00	18,289,424.42	0.00	0.00	0.00	147,800.00	78,373.73	69,426.27	0.00	0.00	0.00	69,426.27	0.00	0.00	18,358,850.69	0.00	15,200.99	59,980.00	-385.00	0.00	0.00	38,800.00	0.00	0.00	113,595.99	0.00	0.00	0.00	0.00	0.00	113,595.99	18,245,254.70	18,245,254.70	18,245,254.70	18,358,850.69	2,381,607.38	8,957,282.00	123,235.80	245,000.30	8,486,780.77	0.00	0.00	0.00	20,193,906.25	0.00	0.00	0.00	147,800.00	106,144.62	41,655.38	0.00	0.00	0.00	41,655.38	0.00	0.00	20,235,561.63	0.00	4,000.99	94,880.00	80,992.59	0.00	0.00	38,800.00	0.00	0.00	218,673.58	0.00	0.00	0.00	0.00	0.00	218,673.58	19,775,648.19	19,775,648.19	20,016,888.05	20,235,561.63
8	964	哈尔滨市香坊区残疾人福利基金会	2016	5,419,488.64	0.00	45,607.00	0.00 	13,462.00	0.00	0.00	0.00	5,478,557.64	0.00	0.00	0.00	703,892.15	539,874.36	164,017.79	0.00	0.00	0.00	164,017.79	0.00	0.00	5,642,575.43	0.00	182,800.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	182,800.00	0.00	0.00	0.00	0.00	0.00	182,800.00	5,094,993.25	5,094,993.25	5,459,775.43	5,642,575.43	5,139,023.29	0.00	50,745.40	0.00	13,462.00	0.00	0.00	0.00	5,203,230.69	0.00	0.00	0.00	711,012.15	564,768.57	146,243.58	0.00	0.00	0.00	146,243.58	0.00	0.00	5,349,474.27	0.00	330,300.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	330,300.00	0.00	0.00	0.00	0.00	0.00	330,300.00	4,963,642.09	4,963,642.09	5,019,174.27	5,349,474.27
9	6287	黑龙江省阳光健康公益基金会	2016	905,867.56	0.00	20,000.00	20,403.27 	0.00	21,374.65	0.00	0.00	967,645.48	0.00	0.00	0.00	390,469.00	0.00	390,469.00	0.00	0.00	0.00	390,469.00	4,725.00	0.00	1,362,839.48	0.00	128,400.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	128,400.00	0.00	0.00	0.00	0.00	0.00	128,400.00	1,234,439.48	1,234,439.48	1,234,439.48	1,362,839.48	194,485.59	0.00	616,839.21	23,356.00	0.00	10,187.37	0.00	0.00	844,868.17	813,963.00	0.00	813,963.00	390,469.00	49,687.56	340,781.44	0.00	0.00	0.00	340,781.44	3,465.00	0.00	2,003,077.61	0.00	212,414.00	0.00	0.00	21,374.65	0.00	0.00	0.00	0.00	212,414.00	0.00	0.00	0.00	0.00	0.00	212,414.00	1,790,663.61	1,790,663.61	1,790,663.61	2,003,077.61
