,ao_ad,ao_adex,ao_adn,ao_ate,ao_cc,ao_dd,ao_ddc,ao_ddi,ao_ddin,ao_ddn,ao_ddnn,ao_lst,ao_nni,ao_nnin,ao_od,ao_odi,ao_odin,ao_odn,ao_odnn,ao_odnnn,ao_oth,ao_slr,ba_cn,fp_yr,name,ricf_oid
0,"100,000.00","24,878.53",0.00,"1,628,025.96","1,503,828.63","100,000.00","100,000.00",0.00,0.00,0.00,0.00,"1,319,678.15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"26,909.20","72,409.60",河南省青年创业就业基金会,2016,河南省青年创业就业基金会,2161.0
1,"3,272,400.40",0.00,0.00,"1,118,000.00","1,115,000.00","3,272,400.40","10,000.00","3,262,400.40",0.00,0.00,0.00,"2,737,620.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,000.00",0.00,岱山县人民教育基金会,2016,岱山县人民教育基金会,1364.0
2,0.00,0.00,0.00,"292,612.19","292,612.19",0.00,0.00,0.00,0.00,0.00,0.00,"574,301.58",null,null,0.00,0.00,0.00,0.00,0.00,0.00,null,0.00,浙江华策影视育才教育基金会,2016,浙江华策影视育才教育基金会,2213.0
3,"3,073,774.50","47,649.20",0.00,"3,150,860.18","2,974,860.98","3,073,774.50",0.00,"3,073,774.50",0.00,0.00,0.00,"2,357,496.39",null,null,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"128,350.00",云南华瑞教育发展基金会,2016,云南华瑞教育发展基金会,3889.0
4,"100,000.00","13,687.90","1,916,000.00","108,754.20","66,538.40","100,000.00",0.00,"100,000.00","1,916,000.00","1,916,000.00",0.00,"2,197,242.76",null,null,0.00,0.00,0.00,0.00,0.00,0.00,"1,474.00","27,053.90",辽宁省和光公益基金会,2016,辽宁省和光公益基金会,5095.0
5,"223,771.02","21,140.60","51,439.00","764,726.30","598,391.46","223,771.02","146,499.58","77,271.44","49,900.00","51,439.00","1,539.00","2,241,254.33",null,null,0.00,0.00,0.00,0.00,0.00,0.00,"97,194.24","48,000.00",河南省福兴儿童公益基金会,2016,河南省福兴儿童公益基金会,2144.0
6,0.00,"8,868.00",0.00,"209,260.00","200,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"5,653,568.67",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,392.00,0.00,河南省华康爱心教育基金会,2016,河南省华康爱心教育基金会,2105.0
7,"251,406.86",0.00,"7,527,289.36","6,215,175.19","5,663,705.39","251,406.86","41,906.86","209,500.00","7,527,289.36","7,527,289.36",0.00,"18,245,254.70",null,null,0.00,0.00,0.00,0.00,0.00,0.00,"212,407.97","339,061.83",章如庚慈善基金会,2016,章如庚慈善基金会,3638.0
8,"2,250.00","41,949.69",0.00,"632,286.88","552,377.90","2,250.00",0.00,"2,250.00",0.00,0.00,0.00,null,null,null,0.00,0.00,0.00,0.00,0.00,0.00,"22,759.29","15,200.00",哈尔滨市香坊区残疾人福利基金会,2016,哈尔滨市香坊区残疾人福利基金会,964.0
9,"2,657,100.00","115,275.88",0.00,"2,101,860.87","1,901,422.56","2,657,100.00","887,600.00","1,769,500.00",0.00,0.00,0.00,"1,234,439.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,083.66","84,078.77",黑龙江省阳光健康公益基金会,2016,黑龙江省阳光健康公益基金会,6287.0
10,"444,536.11",0.00,0.00,"729,197.19","666,983.10","444,536.11","17,668.08","426,868.03",0.00,0.00,0.00,"7,630,530.01",0.00,null,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"62,214.09",石家庄市志愿服务基金会,2016,石家庄市志愿服务基金会,2738.0
11,"800,000.00","32,006.08",0.00,"1,001,295.19","970,175.00","800,000.00",0.00,"800,000.00",0.00,0.00,0.00,"5,726,139.22",null,null,0.00,0.00,0.00,0.00,0.00,0.00,-885.89,0.00,温州百润教育基金会,2016,温州百润教育基金会,2500.0
12,"3,618,990.00","334,632.16","20,000,000.00","4,875,912.92","4,424,130.75","3,618,990.00","35,000.00","3,583,990.00","20,000,000.00","20,000,000.00",0.00,"17,157,454.73",null,null,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"117,150.01",华盛绿色工业基金会,2016,华盛绿色工业基金会,4405.0
