Unnamed: 0,ricf_oid,ba_cn,fp_yr,name,cf_doc,cf_soc,cf_srvc,cf_proc,cf_govc,cf_otca,cf_atci,cf_dopc,cf_stpc,cf_psc,cf_otpc,cf_atco,cf_anc,cf_inc,cf_inrc,cf_assc,cf_oc,cf_itci,cf_aspc,cf_invs,cf_oinc,cf_tinc,cf_intc,cf_leca,cf_tfc,cf_tfic,cf_bopc,cf_inpc,cf_ofc,cf_tfoc,cf_nfl,cf_exch,cf_ninc
0,2161.0,河南省青年创业就业基金会,2016,河南省青年创业就业基金会,"100,000.00",0.00,0.00,0.00,0.00,"27,778.19","127,778.19","1,452,081.57","72,409.60",0.00,"275,203.53","1,799,694.70","-1,671,916.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,671,916.51"
1,1364.0,岱山县人民教育基金会,2016,岱山县人民教育基金会,"3,272,400.40",0.00,0.00,0.00,0.00,0.00,"3,272,400.40","1,115,000.00",0.00,"3,000.00",0.00,"1,118,000.00","2,154,400.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,154,400.40"
2,2213.0,浙江华策影视育才教育基金会,2016,浙江华策影视育才教育基金会,0.00,0.00,"296,199.40",0.00,"2,838.82",0.00,"299,038.22",0.00,0.00,"289,703.99","28,264.36","317,968.35","-18,930.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-18,930.13"
3,3889.0,云南华瑞教育发展基金会,2016,云南华瑞教育发展基金会,"3,073,774.50",0.00,0.00,0.00,0.00,"2,000,000.00","5,073,774.50","2,668,900.00","128,350.00",0.00,"297,610.18","3,094,860.18","1,978,914.32",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,956.72","2,956.72",0.00,0.00,0.00,0.00,"2,956.72",0.00,"1,981,871.04"
4,5095.0,辽宁省和光公益基金会,2016,辽宁省和光公益基金会,"2,016,000.00",0.00,0.00,0.00,0.00,8.05,"2,016,008.05","66,538.40","27,053.90",0.00,"15,161.90","108,754.20","1,907,253.85",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,907,253.85"
5,2144.0,河南省福兴儿童公益基金会,2016,河南省福兴儿童公益基金会,"223,771.02",0.00,0.00,0.00,"250,000.00",400.86,"474,171.88","315,183.99","48,000.00","119,282.76","69,140.60","551,607.35","-77,435.47",0.00,"177,600.00",0.00,0.00,"177,600.00",0.00,0.00,0.00,0.00,"177,600.00",0.00,0.00,0.00,0.00,0.00,"72,776.00","72,776.00","-72,776.00",0.00,"27,388.53"
6,2105.0,河南省华康爱心教育基金会,2016,河南省华康爱心教育基金会,0.00,0.00,0.00,0.00,0.00,"44,226.99","44,226.99","200,000.00",0.00,0.00,"290,093.11","490,093.11","-445,866.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-445,866.12"
7,3638.0,章如庚慈善基金会,2016,章如庚慈善基金会,"251,406.86",0.00,0.00,0.00,0.00,"790,785.42","1,042,192.28",0.00,"302,607.00","527,300.00","580,843.02","1,410,750.02","-368,557.74",0.00,"143,476.60",0.00,"31,556,523.40","31,700,000.00",0.00,0.00,"29,700,000.00","29,700,000.00","2,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,631,442.26"
8,964.0,哈尔滨市香坊区残疾人福利基金会,2016,哈尔滨市香坊区残疾人福利基金会,"2,250.00",0.00,0.00,0.00,0.00,"180,377.36","182,627.36","2,250.00","15,200.00",0.00,"438,522.71","455,972.71","-273,345.35",0.00,0.00,0.00,0.00,0.00,"7,120.00",0.00,0.00,"7,120.00","-7,120.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-280,465.35"
9,6287.0,黑龙江省阳光健康公益基金会,2016,黑龙江省阳光健康公益基金会,"2,657,100.00",0.00,0.00,0.00,0.00,0.00,"2,657,100.00","1,901,422.56","84,078.77",0.00,"569,017.64","2,554,518.97","102,581.03",0.00,0.00,0.00,0.00,0.00,0.00,"813,963.00",0.00,"813,963.00","-813,963.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-711,381.97"
