,ba_cn,fa_accoe_last,fa_accoe_this,fa_accos_last,fa_accos_this,fa_accou_last,fa_accou_this,fa_adexe_last,fa_adexe_this,fa_adexs_last,fa_adexs_this,fa_adexu_last,fa_adexu_this,fa_asine_last,fa_asine_this,fa_asins_last,fa_asins_this,fa_asinu_last,fa_asinu_this,fa_cotoe_last,fa_cotoe_this,fa_cotos_last,fa_cotos_this,fa_cotou_last,fa_cotou_this,fa_dine_last,fa_dine_this,fa_dins_last,fa_dins_this,fa_dinu_last,fa_dinu_this,fa_etoue_last,fa_etoue_this,fa_etous_last,fa_etous_this,fa_etouu_last,fa_etouu_this,fa_fuexe_last,fa_fuexe_this,fa_fuexs_last,fa_fuexs_this,fa_fuexu_last,fa_fuexu_this,fa_gine_last,fa_gine_this,fa_gins_last,fa_gins_this,fa_ginu_last,fa_ginu_this,fa_gse_last,fa_gse_this,fa_gss_last,fa_gss_this,fa_gsu_last,fa_gsu_this,fa_inine_last,fa_inine_this,fa_inins_last,fa_inins_this,fa_ininu_last,fa_ininu_this,fa_intoe_last,fa_intoe_this,fa_intos_last,fa_intos_this,fa_intou_last,fa_intou_this,fa_neche_last,fa_neche_this,fa_nechs_last,fa_nechs_this,fa_nechu_last,fa_nechu_this,fa_otexe_last,fa_otexe_this,fa_otexs_last,fa_otexs_this,fa_otexu_last,fa_otexu_this,fa_otine_last,fa_otine_this,fa_otins_last,fa_otins_this,fa_otinu_last,fa_otinu_this,fa_pine_last,fa_pine_this,fa_pins_last,fa_pins_this,fa_pinu_last,fa_pinu_this,fa_sine_last,fa_sine_this,fa_sins_last,fa_sins_this,fa_sinu_last,fa_sinu_this,fp_yr,name,ricf_oid
0,河南省青年创业就业基金会,0.00,0.00,"2,232,276.00","1,503,828.63","2,232,276.00","1,503,828.63",0.00,0.00,"184,408.63","123,872.33","184,408.63","123,872.33",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,417,534.63","1,628,025.96","2,417,534.63","1,628,025.96",0.00,0.00,"1,236,000.00","100,000.00","1,236,000.00","100,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,850.00,325.00,850.00,325.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"1,319,678.15","127,778.19","1,319,678.15","127,778.19",0.00,0.00,"-1,097,856.48","-1,500,247.77","-1,097,856.48","-1,500,247.77",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"83,678.15","27,778.19","83,678.15","27,778.19",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,河南省青年创业就业基金会,2161.0
1,岱山县人民教育基金会,"1,500,000.00",0.00,"2,330,566.00","1,115,000.00","830,566.00","1,115,000.00",0.00,0.00,"3,000.00","3,000.00","3,000.00","3,000.00",0.0,0.00,0.00,0.00,0.00,0.00,"1,500,000.00",0.00,"2,333,566.00","1,118,000.00","833,566.00","1,118,000.00",0.00,0.00,"2,737,620.90","3,272,400.40","2,737,620.90","3,272,400.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"2,737,620.90","3,272,400.40","2,737,620.90","3,272,400.40","-1,500,000.00",0.00,"404,054.90","2,154,400.40","1,904,054.90","2,154,400.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,岱山县人民教育基金会,1364.0
2,浙江华策影视育才教育基金会,0.00,0.00,"430,436.38","292,612.19","430,436.38","292,612.19",0.00,0.00,"2,473.35","11,007.61","2,473.35","11,007.61",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"430,763.63","300,865.98","430,763.63","300,865.98",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-2,146.10","-2,753.82","-2,146.10","-2,753.82",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"188,204.36","289,865.85","188,204.36","289,865.85",0.00,0.00,"-242,559.27","-11,000.13","-242,559.27","-11,000.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,"188,204.36","289,865.85","188,204.36","289,865.85",2016,浙江华策影视育才教育基金会,2213.0
3,云南华瑞教育发展基金会,0.00,0.00,"1,241,385.41","2,974,860.98","1,241,385.41","2,974,860.98",0.00,0.00,"332,177.78","175,999.20","332,177.78","175,999.20",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,571,805.67","3,147,903.46","1,571,805.67","3,147,903.46",0.00,0.00,"2,050,000.00","3,073,774.50","2,050,000.00","3,073,774.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,757.52","-2,956.72","-1,757.52","-2,956.72",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"2,050,000.00","3,073,774.50","2,050,000.00","3,073,774.50",0.00,0.00,"478,194.33","-74,128.96","478,194.33","-74,128.96",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,云南华瑞教育发展基金会,3889.0
4,辽宁省和光公益基金会,0.00,0.00,"44,656.00","66,538.40","44,656.00","66,538.40",0.00,0.00,"7,437.10","40,741.80","7,437.10","40,741.80",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"53,799.94","108,754.20","53,799.94","108,754.20",0.00,0.00,"400,000.00","2,016,000.00","400,000.00","2,016,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,780.80,"1,474.00",780.80,"1,474.00",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"401,042.70","2,016,008.05","401,042.70","2,016,008.05",0.00,0.00,"347,242.76","1,907,253.85","347,242.76","1,907,253.85",0.00,0.00,926.04,0.00,926.04,0.00,0.00,0.00,"1,042.70",8.05,"1,042.70",8.05,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,辽宁省和光公益基金会,5095.0
5,河南省福兴儿童公益基金会,0.00,0.00,"1,054,759.93","598,391.46","1,054,759.93","598,391.46",0.00,0.00,"47,846.36","93,558.84","47,846.36","93,558.84",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,119,527.21","764,726.30","1,119,527.21","764,726.30",0.00,0.00,"1,045,910.90","275,210.02","1,045,910.90","275,210.02",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,920.92","72,776.00","16,920.92","72,776.00",0.00,0.00,0.00,"250,000.00",0.00,"250,000.00",,,,,,,0.0,0.0,138000.0,177600.0,138000.0,177600.0,0.00,0.00,"1,184,829.71","703,210.88","1,184,829.71","703,210.88",0.00,0.00,"65,302.50","-61,515.42","65,302.50","-61,515.42",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,918.81,400.86,918.81,400.86,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,河南省福兴儿童公益基金会,2144.0
6,河南省华康爱心教育基金会,"430,000.00","200,000.00","430,000.00","200,000.00",0.00,0.00,"3,250.00","8,868.00","3,250.00","8,868.00",0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,"433,625.00","209,260.00","433,625.00","209,260.00",0.00,0.00,"2,700,000.00",0.00,"2,700,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"-280,833.11",0.00,"-280,833.11",375.00,392.00,375.00,392.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"2,805,400.93","44,226.99","2,805,400.93","44,226.99",0.00,0.00,"2,371,775.93","-165,033.01","2,371,775.93","-445,866.12",0.00,"-280,833.11",0.00,0.00,0.00,0.00,0.00,0.00,"105,400.93","44,226.99","105,400.93","44,226.99",0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,河南省华康爱心教育基金会,2105.0
7,章如庚慈善基金会,0.00,0.00,"1,738,349.77","5,663,705.39","1,738,349.77","5,663,705.39",0.00,0.00,"365,657.78","470,092.21","365,657.78","470,092.21",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,104,007.55","6,215,175.19","2,104,007.55","6,215,175.19",0.00,"241,239.86","4,928,925.01","7,778,696.22","4,928,925.01","7,537,456.36",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,246103.5,143476.6,246103.5,143476.6,0.00,"241,239.86","5,255,750.15","7,986,808.54","5,255,750.15","7,745,568.68",0.00,"241,239.86","3,151,742.60","1,771,633.35","3,151,742.60","1,530,393.49",0.00,0.00,0.00,"81,377.59",0.00,"81,377.59",0.00,0.00,"80,721.64","64,635.72","80,721.64","64,635.72",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,章如庚慈善基金会,3638.0
8,哈尔滨市香坊区残疾人福利基金会,0.00,"400,750.00","312,130.00","552,377.90","312,130.00","151,627.90",0.00,0.00,"112,932.16","82,043.90","112,932.16","82,043.90",0.0,0.00,0.00,0.00,0.00,0.00,0.00,"400,750.00","421,631.75","632,286.88","421,631.75","231,536.88",0.00,0.00,"100,000.00","2,250.00","100,000.00","2,250.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-3,430.41","-2,134.92","-3,430.41","-2,134.92","200,000.00","91,500.00","200,000.00","91,500.00",0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"200,000.00","91,500.00","446,629.44","191,685.72","246,629.44","100,185.72","200,000.00","-309,250.00","24,997.69","-440,601.16","-175,002.31","-131,351.16",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"146,629.44","97,935.72","146,629.44","97,935.72",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,哈尔滨市香坊区残疾人福利基金会,964.0
9,黑龙江省阳光健康公益基金会,0.00,0.00,"1,626,376.60","1,901,422.56","1,626,376.60","1,901,422.56",0.00,0.00,"161,099.87","199,354.65","161,099.87","199,354.65",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,804,754.62","2,101,860.87","1,804,754.62","2,101,860.87",0.00,0.00,"1,093,000.00","2,657,100.00","1,093,000.00","2,657,100.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,278.15","1,083.66","17,278.15","1,083.66",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"1,093,000.00","2,657,100.00","1,093,000.00","2,657,100.00",0.00,0.00,"-711,754.62","5,555,239.13","-711,754.62","5,555,239.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,黑龙江省阳光健康公益基金会,6287.0
