机构ID	机构名称	报表时间	捐赠收入_限定	会费收入_限定	提供服务收入_限定	政府购买服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	调整净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	政府购买服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	调整净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
ricf_oid	ba_cn	fp_dt	fa_dine	fa_asine	fa_sine	fa_gse	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_chase	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_gsu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_chasu	fa_nechu
2	一达助学（伊春）基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0	0	92000	912.57	50.14	0	92962.71	0		-92962.71
3	万科公益基金会	2013	2722959.19	0	0		0	0	0	0	2722959.19	17310269.65	0	0	0	17310269.65	0		-14587310.46	1937360	0	0		0	0	0	8799460	10736820	0	13852	0	514266.36	528118.36	0		10208701.64
5	三亚市法律援助基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	14592.19	14592.19	100100	48164.98	0	0	148264.98	0		-133672.79
6	三明学院教育发展基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	2000000	0	0		0	0	0	812.78	2000812.78	0	0	0	0	0	0		2000812.78
7	三江学院教育发展基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	200000	0	0		0	0	0	166944.32	366944.32	4942800	6000	0	0	4948800	0		-4581855.68
8	三江源生态保护基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	1600000	0	0		0	2014700	0	27492.55	3642192.55	1132867.22	153631.3	0	0	1286498.52	0		2355694.03
9	三门县人民教育基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	540.16	540.16	0	38473.8	0	0	38473.8	0		-37933.64
10	上海七弦古琴文化发展基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	300000	0	0		0	0	96995.04	9065.66	406060.7	379628.41	23424.3	0	0	403052.71	0		3007.99
11	上海万宇慈善基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	5000000	0	0		0	0	73612.88	5936.68	5079549.56	503191	0	0	304	503495	0		4576054.56
12	上海世华民族艺术瑰宝回归基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	1158000	0	0		0	0	0	0	1158000	163000	0	0	0	163000	0		995000
13	上海东华大学教育发展基金会	2013	12724669.56	0	0		0	0	0	47500	12772169.56	9547900	0	0	0	9547900	0		3224269.56	0	0	0		0	0	0	-26127.48	-26127.48	0	8872.1	0	0	8872.1	0		-34999.58
14	上海东方文化艺术基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	12295216.35	12295216.35	13808760.66	387020.68	0	1423.5	14197204.84	0		-1901988.49
15	上海东方爱心基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	50000	0	50000	1200000	179345.88	855.36	0	1380201.24	0		-1330201.24
16	上海中华职业教育温暖工程基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	88381.2	0	0		0	0	-280.06	74169.93	162271.07	403361.2	38073.35	0	1500	442934.55	0		-280663.48
17	上海中欧国际工商学院教育发展基金会	2013	16967402.33	0	0		0	0	0	0	16967402.33	11715802.33	0	-373806.92	0	11341995.41	0		5625406.92	12324820.79	0	0		0	0	0	0	12324820.79	2980727	1331441.13	-1059185.88	0	3252982.25	0		9071838.54
18	上海交响乐团文化发展基金会	2013	14000000	0	0		0	0	0	0	14000000	4119069	0	0	0	4119069	0		9880931	2478600	0	0		0	0	0	237201.62	2715801.62	0	53308.41	0	0	53308.41	0		2662493.21
19	上海交通大学教育发展基金会	2013	154854022.53	0	0		0	0	27471963.97	0	182325986.5	0	0	0	0	0	76795830.38		105530156.12	0	0	0		0	0	10156837.13	1355048.09	11511885.22	77323247.27	310610.51	3534.23	0	77637392.01	-76795830.38		10670323.59
