机构ID	机构名称	报表时间	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_oid	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
2	一达助学（伊春）基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		92862.43	92000	0	912.57							
3	万科公益基金会	2013	4660319.19	4660319.19	1435400	3224919.19	0	0	0	0	0	0	0	0	0	0	0	0		17838388.01	17310269.65	0	13852							
5	三亚市法律援助基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		148264.98	100100	24000	24164.98							
6	三明学院教育发展基金会	2013	2000000	2000000	0	2000000	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0							
7	三江学院教育发展基金会	2013	200000	200000	0	200000	0	0	0	0	0	0	0	0	0	0	0	0		4948800	4942800	0	6000							
8	三江源生态保护基金会	2013	1600000	1600000	0	1600000	0	0	0	0	0	0	0	0	0	0	0	0		1286498.52	1132867.22	76361.3	77270							
9	三门县人民教育基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		38473.8	0	7200	31273.8							
10	上海七弦古琴文化发展基金会	2013	300000	300000	300000	0	0	0	0	0	0	0	0	0	0	0	0	0		403052.71	355358.56	14760	8664.3							
11	上海万宇慈善基金会	2013	5000000	5000000	0	5000000	0	0	0	0	0	0	0	0	0	0	0	0		503495	503191	0	0							
12	上海世华民族艺术瑰宝回归基金会	2013	400000	400000	280000	120000	0	0	0	0	0	0	0	0	0	0	0	0		163000	163000	0	0							
13	上海东华大学教育发展基金会	2013	11310669.56	11280500.19	1256000.19	10024500	30169.37	0	30169.37	0	0	0	0	0	0	0	0	0		9556772.1	9547900	0	8872.1							
