	address	cert_valid_thru	dist	est_date	init_fund	inst_nm	inst_type	phone_num	prov	reg_dept	repre	spv_dept	status	uscc	website	wrk_domain
0	北京市海淀区双榆树西里36号南楼四、五层		海淀区	1989-03-13	1000.00 万元	中国扶贫基金会	基金会	-	北京市	民政部	段应碧	国务院扶贫开发领导小组办公室	正常	5310000050000784XY	www.fupin.org.cn	nan
1	北京市东城区台基厂大街1号		东城区	1995-07-04	800.00 万元	中国友好和平发展基金会	基金会	-	北京市	民政部	李希奎	中国人民对外友好协会	正常	53100000500018020L	www.cffpd.org	nan
2	河北省秦皇岛市北戴河区保二路13号		秦皇岛市	2003-10-30	800.00 万元	中国煤矿尘肺病防治基金会	基金会	-	河北省	民政部	黄毅	国家安全生产监督管理总局	正常	53100000500019330X	www.cfbjjh.org.cn	nan
3	北京市东城区永定门外西革新里98号		东城区	1992-02-19	800.00 万元	中国生物多样性保护与绿色发展基金会	基金会	-	北京市	民政部	胡德平	中国科学技术协会	正常	53100000500009167K	www.cbcgdf.org	nan
4	山东省济南市东外环路2668号		济南市	1984-09-20	800.00 万元	中国孔子基金会	基金会	-	山东省	民政部	王大千	文化部	正常	53100000500016682L	www.chinakongzi.org	nan
5	北京市海淀区大慧寺12号		海淀区	1991-11-22	1200.00 万元	中国人口福利基金会	基金会	-	北京市	民政部	郝林娜	国家卫生和计划生育委员会	正常	53100000500007612W	www.cpwf.org.cn	nan
6	北京市朝阳区麦子店街20号楼		朝阳区	1995-10-25	800.00 万元	中华农业科教基金会	基金会	-	北京市	民政部	刘立仁	农业部	正常	53100000500018434Q	www.casef.agri.cn	nan
7	北京市西城区西便门西里甲16号		西城区	1997-03-01	1000.00 万元	中国法律援助基金会	基金会	-	北京市	民政部	张彦珍	司法部	正常	53100000500018549Y	www.claf.com.cn	nan
8	北京市朝阳区潘家园南里17号研究生公寓203-207室		朝阳区	1992-03-09	800.00 万元	中国癌症基金会	基金会	-	北京市	民政部	赵平	国家卫生和计划生育委员会	正常	53100000500009474C	www.cfchina.org.cn	nan
9	北京市西城区西安门大街22号		西城区	1995-10-25	1850.00 万元	中国经济改革研究基金会	基金会	-	北京市	民政部	樊纲	国家发展和改革委员会	正常	531000005000184776	www.crfoundation.org	nan
