ba_cn	ind_year	ricf_oid
上海市民帮困互助基金会	2013	81
上海市帮困互助基金会	2014	81
上海市帮困互助基金会	2015	81
从化市教育基金会	2013	366
广州市从化区教育基金会	2014	366
广州市从化区教育基金会	2015	366
内蒙古包头市爱心慈善基金会	2013	413
内蒙古公益事业发展基金会	2014	413
内蒙古公益事业发展基金会	2015	413
北京中国抗日战争史研究暨和平教育基金会	2013	487
北京和平教育基金会	2014	487
北京和平教育基金会	2015	487
北京新徽商慈善基金会	2013	662
北京梦无缺慈善基金会	2014	662
北京梦无缺慈善基金会	2015	662
北方民族大学教育发展基金会	2013	745
宁夏回族自治区北方民族大学教育发展基金会	2014	745
宁夏回族自治区北方民族大学教育发展基金会	2015	745
南京市溧水县见义勇为基金会	2013	787
南京市溧水区见义勇为基金会	2014	787
南京市溧水区见义勇为基金会	2015	787
南通纺织职业技术学院教育发展基金会	2013	852
江苏工程职业技术学院教育发展基金会	2014	852
江苏工程职业技术学院教育发展基金会	2015	852
吉林康乃尔助学基金会	2013	909
吉林省康乃尔公益基金会	2014	909
吉林省康乃尔公益基金会	2015	909
吉林省惠慈健康发展基金会	2013	922
吉林省国康医疗基金会	2014	922
吉林省国康医疗基金会	2015	922
同心县同德公益慈善基金会	2013	937
宁夏回族自治区同心县同德公益慈善基金会	2014	937
宁夏回族自治区同心县同德公益慈善基金会	2015	937
四川西南交通大学扬华教育基金会	2013	1028
四川西南交通大学教育基金会	2014	1028
四川西南交通大学教育基金会	2015	1028
四川西部自然保护基金会	2013	1031
四川桃花源生态保护基金会	2014	1031
四川桃花源生态保护基金会	2015	1031
天津市妈祖慈善基金会	2013	1074
天津市力高慈善基金会	2014	1074
天津市力高慈善基金会	2015	1074
姜堰市见义勇为基金会	2013	1122
泰州市姜堰区见义勇为基金会	2014	1122
泰州市姜堰区见义勇为基金会	2015	1122
宁夏燕宝慈善基金会	2013	1147
宁夏回族自治区燕宝慈善基金会	2014	1147
宁夏回族自治区燕宝慈善基金会	2015	1147
宁夏隆德县神宁民间文化艺术保护基金会	2013	1155
宁夏回族自治区隆德县神宁民间文化艺术发展基金会	2014	1155
宁夏回族自治区隆德县神宁民间文化艺术发展基金会	2015	1155
安徽省李恩三教育发展基金会	2013	1223
安徽李恩三慈善基金会	2014	1223
安徽李恩三慈善基金会	2015	1223
富阳市人民教育基金会	2013	1265
杭州市富阳区人民教育基金会	2014	1265
杭州市富阳区人民教育基金会	2015	1265
富阳市见义勇为基金会	2013	1266
杭州市富阳区见义勇为基金会	2014	1266
杭州市富阳区见义勇为基金会	2015	1266
山东省鲁能彩虹援助基金会	2013	1307
山东省彩虹援助基金会	2014	1307
山东省彩虹援助基金会	2015	1307
山西省华宇慈善基金会	2013	1322
山西省华宇公益基金会	2014	1322
山西省华宇公益基金会	2015	1322
山西省煤炭职业技术教育发展基金会	2013	1351
山西省煤炭职业教育基金会	2014	1351
山西省煤炭职业教育基金会	2015	1351
常德市教师奖励基金会	2013	1396
常德市教育基金会	2014	1396
常德市教育基金会	2015	1396
广东省北京师范大学-香港浸会大学联合国际学院	2013	1440
广东省北京师范大学-香港浸会大学联合国际学院教育基金会	2014	1440
广东省北京师范大学-香港浸会大学联合国际学院教育基金会	2015	1440
广东省华媒传媒发展基金会	2013	1449
广东省财新公益基金会	2014	1449
广东省财新公益基金会	2015	1449
广东省广州工商职业技术学院教育发展基金会	2013	1491
广东省广州工商学院教育发展基金会	2014	1491
广东省广州工商学院教育发展基金会	2015	1491
广东省棕榈园林公益基金会	2013	1518
广东省棕榈公益基金会	2014	1518
广东省棕榈公益基金会	2015	1518
广州市增强教育慈善基金会	2013	1593
广州市厚德教育慈善基金会	2014	1593
广州市厚德教育慈善基金会	2015	1593
成都羊安宏志教育基金会	2013	1704
成都鸿鹄教育基金会	2014	1704
成都鸿鹄教育基金会	2015	1704
新疆社会救助基金会	2013	1747
中华援疆发展基金会	2014	1747
中华援疆发展基金会	2015	1747
杭州市余杭区见义勇为奖励基金会	2013	1804
杭州市余杭区见义勇为基金会	2014	1804
杭州市余杭区见义勇为基金会	2015	1804
杭州市萧山区见义勇为奖励基金会	2013	1818
杭州市萧山区见义勇为基金会	2014	1818
杭州市萧山区见义勇为基金会	2015	1818
民福社会福利研究基金会	2013	1867
民福社会福利基金会	2014	1867
民福社会福利基金会	2015	1867
江南大学太湖学院教育发展基金会	2013	1886
无锡太湖学院教育发展基金会	2014	1886
无锡太湖学院教育发展基金会	2015	1886
河北省禾台文化教育基金会	2013	2066
河北师范大学教育基金会	2014	2066
河北师范大学教育基金会	2015	2066
河南省会善助老基金会	2013	2096
河南会善助老基金会	2014	2096
河南会善助老基金会	2015	2096
河南省黄帝故里建设基金会	2013	2162
河南省黄帝故里基金会	2014	2162
河南省黄帝故里基金会	2015	2162
河源市华达万福公益基金会	2013	2166
河源市华达福公益基金会	2014	2166
河源市华达福公益基金会	2015	2166
海门徐有庠文教基金会	2013	2370
海门徐有庠教育基金会	2014	2370
海门徐有庠教育基金会	2015	2370
海门欣乐教育基金会	2013	2372
江苏欣乐公益基金会	2014	2372
江苏欣乐公益基金会	2015	2372
深圳市归侨侨眷福利基金会	2013	2418
深圳市华侨公益基金会	2014	2418
深圳市华侨公益基金会	2015	2418
湖北省武汉中学教育发展基金会	2013	2531
湖北武汉中学教育发展基金会	2014	2531
湖北武汉中学教育发展基金会	2015	2531
湖南省长沙市芙蓉区人民教育基金会	2013	2622
长沙市芙蓉区人民教育基金会	2014	2622
长沙市芙蓉区人民教育基金会	2015	2622
澧县教师奖励基金会	2013	2657
澧县教育基金会	2014	2657
澧县教育基金会	2015	2657
甘肃省教师奖励基金会	2013	2703
甘肃省教师发展基金会	2014	2703
甘肃省教师发展基金会	2015	2703
绍兴县人民教育基金会	2013	2846
绍兴市柯桥区人民教育基金会	2014	2846
绍兴市柯桥区人民教育基金会	2015	2846
绍兴县小百花越剧基金会	2013	2847
绍兴市柯桥区小百花越剧基金会	2014	2847
绍兴市柯桥区小百花越剧基金会	2015	2847
贵州安泰公益扶助基金会	2013	2957
贵州省安泰公益基金会	2014	2957
贵州省安泰公益基金会	2015	2957
鄂托克前旗教师奖励基金会	2013	3078
鄂托克前旗教育发展基金会	2014	3078
鄂托克前旗教育发展基金会	2015	3078
陕西榆林贵平妇女儿童基金会	2013	3176
陕西榆林平安妇女儿童基金会	2014	3176
陕西榆林平安妇女儿童基金会	2015	3176
陕西省华夏文化艺术发展基金会	2013	3185
陕西华夏文化艺术发展基金会	2014	3185
陕西华夏文化艺术发展基金会	2015	3185
陕西省爱心护理基金会	2013	3200
陕西省爱心敬老基金会	2014	3200
陕西省爱心敬老基金会	2015	3200
青海天佑德教育基金会	2013	3251
青海省天佑德教育基金会	2014	3251
青海省天佑德教育基金会	2015	3251
首都爱心公益基金会	2013	3288
首都文化艺术公益基金会	2014	3288
首都文化艺术公益基金会	2015	3288
高要市教育基金会	2013	3294
广东省肇庆市高要区教育基金会	2014	3294
广东省肇庆市高要区教育基金会	2015	3294
黑龙江省亚布力（中国）企业家论坛发展研究基	2013	3314
黑龙江省亚布力（中国）企业家论坛发展研究基金会	2014	3314
黑龙江省亚布力（中国）企业家论坛发展研究基金会	2015	3314
黑龙江省哈尔滨工业大学附属中学校教育发展基	2013	3321
黑龙江省哈尔滨工业大学附属中学校教育发展基金会	2014	3321
黑龙江省哈尔滨工业大学附属中学校教育发展基金会	2015	3321
