ba_cn	ind_year	ricf_oid
一汽自主创新沈曾华奖励基金会	2013	1
一汽自主创新沈曾华奖励基金会	2014	1
一汽自主创新沈曾华奖励基金会	2015	1
一达助学（伊春）基金会	2013	2
一达助学（伊春）基金会	2014	2
一达助学（伊春）基金会	2015	2
万科公益基金会	2013	3
万科公益基金会	2014	3
万科公益基金会	2015	3
三亚宪清养老基金会	2013	4
三亚宪清养老基金会	2014	4
三亚宪清养老基金会	2015	4
三亚市法律援助基金会	2013	5
三亚市法律援助基金会	2014	5
三亚市法律援助基金会	2015	5
三明学院教育发展基金会	2013	6
三明学院教育发展基金会	2014	6
三明学院教育发展基金会	2015	6
三江学院教育发展基金会	2013	7
三江学院教育发展基金会	2014	7
三江学院教育发展基金会	2015	7
三江源生态保护基金会	2013	8
三江源生态保护基金会	2014	8
三江源生态保护基金会	2015	8
三门县人民教育基金会	2013	9
三门县人民教育基金会	2014	9
三门县人民教育基金会	2015	9
上海七弦古琴文化发展基金会	2013	10
上海七弦古琴文化发展基金会	2014	10
上海七弦古琴文化发展基金会	2015	10
上海万宇慈善基金会	2013	11
上海万宇慈善基金会	2014	11
上海万宇慈善基金会	2015	11
上海世华民族艺术瑰宝回归基金会	2013	12
上海世华民族艺术瑰宝回归基金会	2014	12
上海世华民族艺术瑰宝回归基金会	2015	12
上海东华大学教育发展基金会	2013	13
上海东华大学教育发展基金会	2014	13
上海东华大学教育发展基金会	2015	13
上海东方文化艺术基金会	2013	14
上海东方文化艺术基金会	2014	14
上海东方文化艺术基金会	2015	14
上海东方爱心基金会	2013	15
上海东方爱心基金会	2014	15
上海东方爱心基金会	2015	15
上海中华职业教育温暖工程基金会	2013	16
上海中华职业教育温暖工程基金会	2014	16
上海中华职业教育温暖工程基金会	2015	16
上海中欧国际工商学院教育发展基金会	2013	17
上海中欧国际工商学院教育发展基金会	2014	17
上海中欧国际工商学院教育发展基金会	2015	17
上海交响乐团文化发展基金会	2013	18
上海交响乐团文化发展基金会	2014	18
上海交响乐团文化发展基金会	2015	18
上海交通大学教育发展基金会	2013	19
上海交通大学教育发展基金会	2014	19
上海交通大学教育发展基金会	2015	19
上海仁德基金会	2013	20
上海仁德基金会	2014	20
上海仁德基金会	2015	20
上海公安金盾基金会	2013	21
上海公安金盾基金会	2014	21
上海公安金盾基金会	2015	21
上海兴华教育扶贫基金会	2013	22
上海兴华教育扶贫基金会	2014	22
上海兴华教育扶贫基金会	2015	22
上海兴韦信息技术职业学院教育发展基金会	2013	23
上海兴韦信息技术职业学院教育发展基金会	2014	23
上海兴韦信息技术职业学院教育发展基金会	2015	23
上海刘浩清公益基金会	2013	24
上海刘浩清公益基金会	2014	24
上海刘浩清公益基金会	2015	24
上海医学创新发展基金会	2013	25
上海医学创新发展基金会	2014	25
上海医学创新发展基金会	2015	25
上海华东政法大学教育发展基金会	2013	26
上海华东政法大学教育发展基金会	2014	26
上海华东政法大学教育发展基金会	2015	26
上海华东理工大学教育发展基金会	2013	27
上海华东理工大学教育发展基金会	2014	27
上海华东理工大学教育发展基金会	2015	27
上海华信公益基金会	2013	28
上海华信公益基金会	2014	28
上海华信公益基金会	2015	28
上海华杰仁爱基金会	2013	29
上海华杰仁爱基金会	2014	29
上海华杰仁爱基金会	2015	29
上海发展昆剧基金会	2013	30
上海发展昆剧基金会	2014	30
上海发展昆剧基金会	2015	30
上海发展研究基金会	2013	31
上海发展研究基金会	2014	31
上海发展研究基金会	2015	31
上海同济大学教育发展基金会	2013	32
上海同济大学教育发展基金会	2014	32
上海同济大学教育发展基金会	2015	32
上海同济高廷耀环保科技发展基金会	2013	33
上海同济高廷耀环保科技发展基金会	2014	33
上海同济高廷耀环保科技发展基金会	2015	33
上海向阳公益基金会	2013	34
上海向阳公益基金会	2014	34
上海向阳公益基金会	2015	34
上海吴孟超医学科技基金会	2013	35
上海吴孟超医学科技基金会	2014	35
上海吴孟超医学科技基金会	2015	35
上海唐君远教育基金会	2013	36
上海唐君远教育基金会	2014	36
上海唐君远教育基金会	2015	36
上海商学院教育发展基金会	2013	37
上海商学院教育发展基金会	2014	37
上海商学院教育发展基金会	2015	37
上海喜玛拉雅文化艺术基金会	2013	38
上海喜玛拉雅文化艺术基金会	2014	38
上海喜玛拉雅文化艺术基金会	2015	38
上海嘉宝公益基金会	2013	39
上海嘉宝公益基金会	2014	39
上海嘉宝公益基金会	2015	39
上海国泰君安社会公益基金会	2013	40
上海国泰君安社会公益基金会	2014	40
上海国泰君安社会公益基金会	2015	40
上海国际经济交流基金会	2013	41
上海国际经济交流基金会	2014	41
上海国际经济交流基金会	2015	41
上海复大公益基金会	2013	42
上海复大公益基金会	2014	42
上海复大公益基金会	2015	42
上海复旦大学教育发展基金会	2013	43
上海复旦大学教育发展基金会	2014	43
上海复旦大学教育发展基金会	2015	43
上海复星公益基金会	2013	44
上海复星公益基金会	2014	44
上海复星公益基金会	2015	44
上海夏征农民族文化教育发展基金会	2013	45
上海夏征农民族文化教育发展基金会	2014	45
上海夏征农民族文化教育发展基金会	2015	45
上海外国语大学教育发展基金会	2013	46
上海外国语大学教育发展基金会	2014	46
上海外国语大学教育发展基金会	2015	46
上海大成慈善基金会	2013	47
上海大成慈善基金会	2014	47
上海大成慈善基金会	2015	47
上海天下文化发展基金会	2013	48
上海天下文化发展基金会	2014	48
上海天下文化发展基金会	2015	48
上海宇兴爱心慈善基金会	2013	49
上海宇兴爱心慈善基金会	2014	49
上海宇兴爱心慈善基金会	2015	49
上海宋庆龄基金会	2013	50
上海宋庆龄基金会	2014	50
上海宋庆龄基金会	2015	50
上海富国环保公益基金会	2013	51
上海富国环保公益基金会	2014	51
上海富国环保公益基金会	2015	51
上海工商界爱国建设特种基金会	2013	52
上海工商界爱国建设特种基金会	2014	52
上海工商界爱国建设特种基金会	2015	52
上海巴斯德健康研究基金会	2013	53
上海巴斯德健康研究基金会	2014	53
上海巴斯德健康研究基金会	2015	53
上海市中小学幼儿教师奖励基金会	2013	54
上海市中小学幼儿教师奖励基金会	2014	54
上海市中小学幼儿教师奖励基金会	2015	54
上海市九段沙湿地自然保护基金会	2013	55
上海市九段沙湿地自然保护基金会	2014	55
上海市九段沙湿地自然保护基金会	2015	55
上海市人口福利基金会	2013	56
上海市人口福利基金会	2014	56
上海市人口福利基金会	2015	56
上海市体育发展基金会	2013	57
上海市体育发展基金会	2014	57
上海市体育发展基金会	2015	57
上海市促进科技成果转化基金会	2013	58
上海市促进科技成果转化基金会	2014	58
上海市促进科技成果转化基金会	2015	58
上海市儿童健康基金会	2013	59
上海市儿童健康基金会	2014	59
上海市儿童健康基金会	2015	59
上海市儿童基金会	2013	60
上海市儿童基金会	2014	60
上海市儿童基金会	2015	60
上海市医药卫生发展基金会	2013	61
上海市医药卫生发展基金会	2014	61
上海市医药卫生发展基金会	2015	61
上海市华东师范大学教育发展基金会	2013	62
上海市华东师范大学教育发展基金会	2014	62
上海市华东师范大学教育发展基金会	2015	62
上海市华侨事业发展基金会	2013	63
上海市华侨事业发展基金会	2014	63
上海市华侨事业发展基金会	2015	63
上海市卢湾区教育基金会	2013	64
上海市卢湾区教育基金会	2014	64
上海市卢湾区教育基金会	2015	64
上海市卫生系统青年人才奖励基金会	2013	65
上海市卫生系统青年人才奖励基金会	2014	65
上海市卫生系统青年人才奖励基金会	2015	65
上海市嘉定区教育奖励基金会	2013	66
上海市嘉定区教育奖励基金会	2014	66
上海市嘉定区教育奖励基金会	2015	66
上海市大学生科技创业基金会	2013	67
上海市大学生科技创业基金会	2014	67
上海市大学生科技创业基金会	2015	67
上海市奉贤区教育基金会	2013	68
上海市奉贤区教育基金会	2014	68
上海市奉贤区教育基金会	2015	68
上海市奉贤建设工程科学技术发展基金会	2013	69
上海市奉贤建设工程科学技术发展基金会	2014	69
上海市奉贤建设工程科学技术发展基金会	2015	69
上海市安济医疗救助基金会	2013	70
上海市安济医疗救助基金会	2014	70
上海市安济医疗救助基金会	2015	70
上海市宝山区教育发展基金会	2013	71
上海市宝山区教育发展基金会	2014	71
上海市宝山区教育发展基金会	2015	71
上海市应昌期围棋教育基金会	2013	72
上海市应昌期围棋教育基金会	2014	72
上海市应昌期围棋教育基金会	2015	72
上海市建国社会公益基金会	2013	73
上海市建国社会公益基金会	2014	73
上海市建国社会公益基金会	2015	73
上海市徐汇区教育基金会	2013	74
上海市徐汇区教育基金会	2014	74
上海市徐汇区教育基金会	2015	74
上海市慈善基金会	2013	75
上海市慈善基金会	2014	75
上海市慈善基金会	2015	75
上海市拥军优属基金会	2013	76
上海市拥军优属基金会	2014	76
上海市拥军优属基金会	2015	76
上海市教育发展基金会	2013	77
上海市教育发展基金会	2014	77
上海市教育发展基金会	2015	77
上海市普陀区教育奖励基金会	2013	78
上海市普陀区教育奖励基金会	2014	78
