ricf_oid	ba_cn	nacao_uscc	name_set
1	一汽自主创新沈曾华奖励基金会	532200006687540807	一汽自主创新沈曾华奖励基金会
2	一达助学(伊春)基金会	532300005606017012	一达助学(伊春)基金会
3	万科公益基金会	531000005000211741	万科公益基金会
4	三亚宪清养老基金会	5346000058925183XK	三亚宪清养老基金会
5	三亚市法律援助基金会	5346000057873617X9	三亚市法律援助基金会
6	三明学院教育发展基金会	53350400084336002Q	三明学院教育发展基金会
7	三江学院教育发展基金会	53320000509158142H	三江学院教育发展基金会
8	三江源生态保护基金会	536300005950262926	三江源生态保护基金会
9	三门县人民教育基金会	53330000766415218E	三门县人民教育基金会
10	上海七弦古琴文化发展基金会	53310000501781458L	上海七弦古琴文化发展基金会
11	上海万宇慈善基金会	53310000501782493G	上海万宇慈善基金会
12	上海世华艺术基金会	53310000501781028T	上海世华民族艺术瑰宝回归基金会#上海世华艺术基金会
13	上海东华大学教育发展基金会	533100005017814157	上海东华大学教育发展基金会
14	上海东方文化艺术基金会	53310000501780893Q	上海东方文化艺术基金会
15	上海东方爱心基金会	5331000050178056X5	上海东方爱心基金会
16	上海中华职业教育温暖工程基金会	53310000501780420H	上海中华职业教育温暖工程基金会
17	上海中欧国际工商学院教育发展基金会	53310000501779569G	上海中欧国际工商学院教育发展基金会
18	上海交响乐团文化发展基金会	53310000501772770E	上海市发展交响乐事业基金会#上海交响乐团文化发展基金会
19	上海交通大学教育发展基金会	53310000501777985E	上海交通大学教育发展基金会
20	上海仁德基金会	53310000501781829B	上海仁德基金会
21	上海公安金盾基金会	533100005017813781	上海公安金盾基金会
22	上海兴华教育扶贫基金会	53310000501780084D	上海兴华教育扶贫基金会
23	上海兴伟学院教育发展基金会	53310000501782290U	上海兴伟学院教育发展基金会#上海兴韦信息技术职业学院教育发展基金会
24	上海刘浩清公益基金会	53310000501781394N	上海刘浩清公益基金会
25	上海医学创新发展基金会	53310000501782231Q	上海医学创新发展基金会
26	上海华东政法大学教育发展基金会	533100005017816694	上海华东政法大学教育发展基金会
27	上海华东理工大学教育发展基金会	533100005017817738	上海华东理工大学教育发展基金会
